county	time	grade	pct_dtap_medical_exempt	pct_dtap_nonmedical_exempt	pct_hepb_medical_exempt	pct_hepb_nonmedical_exempt	pct_hib_medical_exempt	pct_hib_nonmedical_exempt	pct_mmr_medical_exempt	pct_mmr_nonmedical_exempt	pct_pcv_medical_exempt	pct_pcv_nonmedical_exempt	pct_polio_medical_exempt	pct_polio_nonmedical_exempt	pct_varicella_medical_exempt	pct_varicella_nonmedical_exempt	pct_tdap_medical_exempt	pct_tdap_nonmedical_exempt	geography	state	geography_name	N_dtap	N_polio	N_mmr	N_hep_b	N_varicella	N_personal_exempt	N_medical_exempt	N_full_exempt	pct_dtap	pct_polio	pct_mmr	pct_hep_b	pct_varicella	pct_personal_exempt	pct_medical_exempt	pct_full_exempt
Alamosa	2019-09-01	Child Care/Preschool	NA	0.49	NA	0.49	NA	0.49	NA	0.25	NA	0.25	NA	0.49	NA	0.74	NA	NA	08003	CO	Alamosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alamosa	2019-09-01	Kindergarten	NA	0.89	NA	0.89	NA	NA	NA	NA	NA	NA	NA	0.89	NA	0.89	NA	NA	08003	CO	Alamosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ALAMOSA	2019-09-01	Kindergarten	NA	NA	NA	NA	NA	NA	NA	0.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ALAMOSA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alamosa	2019-09-01	School	NA	0.46	NA	NA	NA	NA	NA	0.46	NA	NA	NA	NA	NA	0.49	NA	0.38	08003	CO	Alamosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ALAMOSA	2019-09-01	School	NA	NA	NA	0.42	NA	NA	NA	NA	NA	NA	NA	0.46	NA	NA	NA	NA	NA	NA	ALAMOSA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alamosa	2020-09-01	Child Care/Preschool	0.23	1.83	0.23	1.83	0.23	1.83	0.23	1.83	NA	1.83	0.23	1.83	NA	1.83	NA	NA	08003	CO	Alamosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alamosa	2020-09-01	Kindergarten	NA	0.8	NA	0.8	NA	NA	NA	0.8	NA	NA	NA	0.8	NA	0.8	NA	NA	08003	CO	Alamosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alamosa	2020-09-01	School	0.08	0.5	0.08	0.46	NA	NA	0.08	0.5	NA	NA	0.08	0.5	0.08	0.46	0.15	0.77	08003	CO	Alamosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alamosa	2021-09-01	Child Care/Preschool	NA	2.42	NA	1.73	NA	1.73	NA	1.38	NA	1.73	NA	1.73	NA	1.73	NA	NA	08003	CO	Alamosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alamosa	2021-09-01	Kindergarten	NA	1.21	NA	1.21	NA	NA	NA	1.21	NA	NA	NA	1.21	NA	1.21	NA	NA	08003	CO	Alamosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alamosa	2021-09-01	School	0.17	0.59	0.17	0.59	NA	NA	0.17	0.59	NA	NA	0.17	0.59	0.17	0.59	0.16	0.32	08003	CO	Alamosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alamosa	2022-09-01	Child Care/Preschool	NA	0.83	NA	0.83	NA	0.83	NA	0.83	NA	0.83	NA	0.83	NA	0.83	NA	NA	08003	CO	Alamosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alamosa	2022-09-01	Kindergarten	NA	2.89	NA	2.89	NA	NA	NA	2.89	NA	NA	NA	2.89	NA	2.89	NA	NA	08003	CO	Alamosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alamosa	2022-09-01	School	NA	0.82	NA	0.82	NA	NA	NA	0.82	NA	NA	NA	0.82	NA	0.82	NA	0.61	08003	CO	Alamosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alamosa	2023-09-01	Child Care/Preschool	0.49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	08003	CO	Alamosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alamosa	2023-09-01	School	NA	0.77	NA	0.77	NA	NA	NA	0.77	NA	NA	NA	0.77	NA	0.77	NA	0.48	08003	CO	Alamosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alamosa	2024-09-01	Child Care/Preschool	NA	1.05	NA	1.05	NA	1.57	NA	1.05	NA	1.05	NA	1.05	NA	1.05	NA	NA	08003	CO	Alamosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alamosa	2024-09-01	Kindergarten	NA	0.66	NA	0.66	NA	NA	NA	0.66	NA	NA	NA	0.66	NA	0.66	NA	NA	08003	CO	Alamosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alamosa	2024-09-01	School	0.04	0.78	0.04	0.78	NA	NA	0.04	0.78	NA	NA	0.04	0.78	0.04	0.78	0.08	0.94	08003	CO	Alamosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alamosa	2025-09-01	Kindergarten	NA	2.22	NA	2.22	NA	NA	NA	2.22	NA	NA	NA	2.22	NA	2.22	NA	NA	08003	CO	Alamosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alamosa	2025-09-01	School	0.05	0.74	0.05	0.74	NA	NA	0.05	0.74	NA	NA	0.05	0.74	0.05	0.74	0.09	0.53	08003	CO	Alamosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
