time	geography	geography_name	grade	N_dtap	N_polio	N_mmr	N_hep_b	N_varicella	N_personal_exempt	N_medical_exempt	N_full_exempt	pct_dtap	pct_polio	pct_mmr	pct_hep_b	pct_varicella	pct_personal_exempt	pct_medical_exempt	pct_full_exempt	enrollment	unit	public_independent	pct_fully_immunized	pct_provisional
2018-09-01	50003	Bennington	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	0.91	0.90	0.93	95.00	0.93	0.03	NA	NA	371.00	County	All	0.89	0.08
2018-09-01	50005	Caledonia	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	0.92	0.93	0.93	0.94	0.93	0.04	NA	NA	269.00	County	All	0.92	0.04
2018-09-01	50007	Chittenden	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	0.94	0.94	0.94	95.00	0.93	0.04	NA	NA	1575.00	County	All	0.92	0.04
2018-09-01	50009	Essex	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44.00	County	All	NA	NA
2018-09-01	50011	Franklin	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	0.94	0.94	0.95	0.95	0.94	0.04	NA	NA	582.00	County	All	0.93	0.03
2018-09-01	50013	Grand Isle	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56.00	County	All	NA	NA
2018-09-01	50015	Lamoille	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	0.88	0.87	0.85	0.93	0.86	0.04	NA	NA	280.00	County	All	0.83	0.13
2018-09-01	50017	Orange	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	0.94	0.95	0.94	95.00	0.94	0.04	NA	NA	298.00	County	All	0.92	0.04
2018-09-01	50019	Orleans	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	0.93	0.93	0.93	95.00	0.93	0.06	NA	NA	267.00	County	All	0.90	0.04
2018-09-01	50021	Rutland	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	95.00	0.95	95.00	95.00	0.95	0.04	NA	NA	534.00	County	All	0.93	0.04
2018-09-01	50023	Washington	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	0.93	0.92	0.93	0.93	0.92	0.05	NA	NA	576.00	County	All	0.90	0.05
2018-09-01	50025	Windham	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	0.89	0.88	0.89	0.91	0.88	0.07	NA	NA	428.00	County	All	0.84	0.08
2018-09-01	50027	Windsor	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	0.93	0.93	0.93	0.95	0.92	0.04	NA	NA	520.00	County	All	0.92	0.04
2018-09-01	50	Vermont	All grades	NA	NA	NA	NA	NA	NA	NA	NA	0.92	0.93	0.93	0.93	0.93	0.06	<0.01	NA	8990.00	Independent school total	Independent	0.89	0.05
2018-09-01	50	Vermont	All grades	NA	NA	NA	NA	NA	NA	NA	NA	0.97	0.97	0.97	0.97	0.97	0.03	<0.01	NA	75454.00	Public school total	Public	0.95	0.02
2018-09-01	50	Vermont	All grades	NA	NA	NA	NA	NA	NA	NA	NA	0.96	0.97	0.97	0.97	0.96	0.03	<0.01	NA	84444.00	Statewide	All	0.95	0.02
2018-09-01	50	Vermont	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	0.93	0.93	0.93	0.95	0.92	0.04	<0.01	NA	6126.00	Statewide	All	0.90	0.05
2018-09-01	50001	Addison	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.03	NA	NA	4164.00	County	All	95.00	NA
2018-09-01	50003	Bennington	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.02	<0.01	NA	5455.00	County	All	0.95	0.03
2018-09-01	50005	Caledonia	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.02	NA	NA	4645.00	County	All	95.00	NA
2018-09-01	50007	Chittenden	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.03	NA	NA	21632.00	County	All	95.00	NA
2018-09-01	50009	Essex	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.03	NA	NA	490.00	County	All	95.00	NA
2018-09-01	50011	Franklin	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	NA	NA	NA	7434.00	County	All	95.00	0.02
2018-09-01	50013	Grand Isle	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	NA	NA	NA	521.00	County	All	95.00	0.03
2018-09-01	50015	Lamoille	All grades	NA	NA	NA	NA	NA	NA	NA	NA	0.94	95.00	95.00	95.00	0.94	0.04	<0.01	NA	3635.00	County	All	0.91	0.04
2018-09-01	50017	Orange	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.02	NA	NA	3828.00	County	All	95.00	NA
2018-09-01	50019	Orleans	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.04	NA	NA	3731.00	County	All	0.94	0.02
2018-09-01	50021	Rutland	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.03	NA	NA	7527.00	County	All	95.00	NA
2018-09-01	50023	Washington	All grades	NA	NA	NA	NA	NA	NA	NA	NA	0.95	0.95	95.00	0.95	95.00	0.05	<0.01	NA	8041.00	County	All	0.93	0.02
2018-09-01	50025	Windham	All grades	NA	NA	NA	NA	NA	NA	NA	NA	0.95	95.00	95.00	95.00	95.00	0.04	<0.01	NA	6026.00	County	All	0.93	0.03
2018-09-01	50027	Windsor	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.03	NA	NA	6652.00	County	All	95.00	NA
2018-09-01	50001	Addison	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	0.92	0.91	0.93	0.95	0.92	0.03	NA	NA	328.00	County	All	0.90	0.07
2018-09-01	50003	Bennington	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	0.93	0.94	0.94	95.00	0.93	0.03	NA	NA	354.00	County	All	0.91	0.06
2018-09-01	50005	Caledonia	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	0.95	95.00	95.00	95.00	0.95	NA	NA	NA	268.00	County	All	0.94	0.05
2018-09-01	50007	Chittenden	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.03	NA	NA	1611.00	County	All	95.00	NA
2018-09-01	50009	Essex	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.00	County	All	NA	NA
2018-09-01	50011	Franklin	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	0.95	0.94	95.00	95.00	95.00	0.01	NA	NA	626.00	County	All	0.93	0.06
2018-09-01	50013	Grand Isle	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	74.00	County	All	NA	NA
2018-09-01	50015	Lamoille	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	0.88	0.89	0.88	0.94	0.86	0.05	NA	NA	280.00	County	All	0.83	0.12
2018-09-01	50017	Orange	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	0.95	95.00	95.00	95.00	0.94	0.03	NA	NA	314.00	County	All	0.94	0.03
2018-09-01	50019	Orleans	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.03	NA	NA	279.00	County	All	0.94	0.03
2018-09-01	50021	Rutland	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	0.94	0.94	0.94	95.00	0.94	0.04	NA	NA	587.00	County	All	0.93	0.03
2018-09-01	50023	Washington	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	0.93	0.92	0.92	0.94	0.92	0.07	NA	NA	598.00	County	All	0.89	0.04
2018-09-01	50025	Windham	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	0.93	0.92	0.93	0.94	0.93	0.05	NA	NA	427.00	County	All	0.89	0.06
2018-09-01	50027	Windsor	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	0.94	0.94	0.94	95.00	0.93	0.05	NA	NA	509.00	County	All	0.93	0.03
2018-09-01	50	Vermont	All grades	NA	NA	NA	NA	NA	NA	NA	NA	0.93	0.93	0.94	0.93	0.93	0.06	<0.01	NA	8914.00	Independent school total	Independent	0.90	0.04
2018-09-01	50	Vermont	All grades	NA	NA	NA	NA	NA	NA	NA	NA	0.97	0.97	0.98	0.97	0.97	0.03	<0.01	NA	75075.00	Public school total	Public	0.96	0.01
2018-09-01	50	Vermont	All grades	NA	NA	NA	NA	NA	NA	NA	NA	0.97	0.97	0.97	0.97	0.97	0.03	<0.01	NA	83989.00	Statewide	All	0.95	0.02
2018-09-01	50	Vermont	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	0.94	0.94	0.95	0.96	0.94	0.04	<0.01	NA	6293.00	Statewide	All	0.92	0.04
2018-09-01	50001	Addison	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.03	NA	NA	4027.00	County	All	95.00	NA
2018-09-01	50003	Bennington	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.02	<0.01	NA	5413.00	County	All	95.00	0.03
2018-09-01	50005	Caledonia	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.02	<0.01	NA	4229.00	County	All	0.95	0.03
2018-09-01	50007	Chittenden	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.02	NA	NA	21077.00	County	All	95.00	NA
2018-09-01	50009	Essex	All grades	NA	NA	NA	NA	NA	NA	NA	NA	0.93	0.94	0.93	0.94	0.93	0.03	NA	NA	442.00	County	All	0.90	0.07
2018-09-01	50011	Franklin	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	NA	NA	NA	7250.00	County	All	95.00	0.03
2018-09-01	50013	Grand Isle	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	NA	NA	NA	512.00	County	All	95.00	0.04
2018-09-01	50015	Lamoille	All grades	NA	NA	NA	NA	NA	NA	NA	NA	0.94	95.00	95.00	95.00	95.00	0.03	<0.01	NA	3440.00	County	All	0.92	0.06
2018-09-01	50017	Orange	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.02	NA	NA	3654.00	County	All	95.00	NA
2018-09-01	50019	Orleans	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.04	<0.01	NA	3582.00	County	All	0.93	0.02
2018-09-01	50021	Rutland	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.02	NA	NA	7231.00	County	All	95.00	NA
2018-09-01	50023	Washington	All grades	NA	NA	NA	NA	NA	NA	NA	NA	0.94	0.95	95.00	95.00	95.00	0.05	<0.01	NA	7772.00	County	All	0.92	0.03
2018-09-01	50025	Windham	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.04	<0.01	NA	5777.00	County	All	0.93	0.03
2018-09-01	50027	Windsor	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.02	<0.01	NA	6365.00	County	All	0.95	0.03
2018-09-01	50001	Addison	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	0.94	0.95	0.95	95.00	0.93	0.03	NA	NA	291.00	County	All	0.92	0.05
2018-09-01	50003	Bennington	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	0.93	0.93	0.93	95.00	0.93	0.03	NA	NA	336.00	County	All	0.91	0.07
2018-09-01	50005	Caledonia	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	0.95	NA	NA	NA	240.00	County	All	0.94	0.03
2018-09-01	50007	Chittenden	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.03	NA	NA	1481.00	County	All	0.95	0.03
2018-09-01	50009	Essex	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42.00	County	All	NA	NA
2018-09-01	50011	Franklin	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	0.91	0.92	0.94	95.00	0.92	0.01	NA	NA	528.00	County	All	0.89	0.10
2018-09-01	50013	Grand Isle	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55.00	County	All	NA	NA
2018-09-01	50015	Lamoille	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	0.86	0.86	0.87	0.92	0.86	0.05	NA	NA	229.00	County	All	0.83	0.13
2018-09-01	50017	Orange	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.03	NA	NA	265.00	County	All	0.95	NA
2018-09-01	50019	Orleans	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	0.94	95.00	0.94	0.95	0.93	0.04	NA	NA	281.00	County	All	0.90	0.06
2018-09-01	50021	Rutland	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	0.92	0.91	0.92	95.00	0.92	0.04	NA	NA	491.00	County	All	0.90	0.05
2018-09-01	50023	Washington	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	0.93	0.93	0.93	95.00	0.94	0.05	NA	NA	512.00	County	All	0.91	0.04
2018-09-01	50025	Windham	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	0.92	0.92	0.93	95.00	0.91	0.05	NA	NA	358.00	County	All	0.88	0.07
2018-09-01	50027	Windsor	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	0.94	0.95	0.94	95.00	0.94	0.02	NA	NA	426.00	County	All	0.92	0.06
2018-09-01	50	Vermont	All grades	NA	NA	NA	NA	NA	NA	NA	NA	0.94	0.94	0.95	0.94	0.94	0.05	<0.01	NA	8505.00	Independent school total	Independent	0.91	0.04
2018-09-01	50	Vermont	All grades	NA	NA	NA	NA	NA	NA	NA	NA	0.97	0.97	0.98	0.97	0.97	0.02	<0.01	NA	72364.00	Public school total	Public	0.95	0.02
2018-09-01	50	Vermont	All grades	NA	NA	NA	NA	NA	NA	NA	NA	0.96	0.97	0.97	0.97	0.97	0.03	<0.01	NA	80869.00	Statewide	All	0.95	0.03
2018-09-01	50	Vermont	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	0.94	0.94	0.94	0.96	0.93	0.03	<0.01	NA	5535.00	Statewide	All	0.92	0.05
2018-09-01	50001	Addison	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.03	NA	NA	4105.00	County	All	95.00	NA
2018-09-01	50003	Bennington	All grades	NA	NA	NA	NA	NA	NA	NA	NA	0.95	95.00	95.00	95.00	95.00	0.02	NA	NA	5423.00	County	All	0.94	0.05
2018-09-01	50005	Caledonia	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.02	<0.01	NA	4398.00	County	All	0.95	0.03
2018-09-01	50007	Chittenden	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.02	NA	NA	21135.00	County	All	95.00	NA
2018-09-01	50009	Essex	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.03	NA	NA	466.00	County	All	95.00	NA
2018-09-01	50011	Franklin	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.01	<0.01	NA	7345.00	County	All	0.95	0.04
2018-09-01	50013	Grand Isle	All grades	NA	NA	NA	NA	NA	NA	NA	NA	0.94	95.00	95.00	95.00	0.95	NA	NA	NA	517.00	County	All	0.93	0.06
2018-09-01	50015	Lamoille	All grades	NA	NA	NA	NA	NA	NA	NA	NA	0.94	95.00	95.00	95.00	0.95	0.04	<0.01	NA	3605.00	County	All	0.92	0.05
2018-09-01	50017	Orange	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	NA	NA	NA	3757.00	County	All	95.00	0.02
2018-09-01	50019	Orleans	All grades	NA	NA	NA	NA	NA	NA	NA	NA	0.94	0.95	95.00	95.00	95.00	0.05	NA	NA	3729.00	County	All	0.92	0.03
2018-09-01	50021	Rutland	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.02	NA	NA	7355.00	County	All	95.00	NA
2018-09-01	50023	Washington	All grades	NA	NA	NA	NA	NA	NA	NA	NA	0.94	0.95	95.00	0.95	95.00	0.05	<0.01	NA	7842.00	County	All	0.92	0.03
2018-09-01	50025	Windham	All grades	NA	NA	NA	NA	NA	NA	NA	NA	0.94	95.00	95.00	95.00	95.00	0.03	<0.01	NA	5784.00	County	All	0.92	0.04
2018-09-01	50027	Windsor	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.03	<0.01	NA	6495.00	County	All	0.94	0.03
2018-09-01	50001	Addison	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	95.00	0.95	95.00	95.00	95.00	0.02	NA	NA	333.00	County	All	0.93	0.05
2018-09-01	50003	Bennington	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	0.91	0.91	0.92	0.93	0.92	0.04	NA	NA	335.00	County	All	0.90	0.06
2018-09-01	50005	Caledonia	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	0.94	0.94	0.92	95.00	0.93	0.03	NA	NA	263.00	County	All	0.92	0.05
2018-09-01	50007	Chittenden	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	0.95	95.00	95.00	95.00	95.00	0.03	NA	NA	1586.00	County	All	0.94	0.04
2018-09-01	50009	Essex	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35.00	County	All	NA	NA
