"OBJECTID","District","SDID","CESA","Type","District_Name","Percent_Immunized","Percent_Immunized_TXT","Shape.STArea()","Shape.STLength()"
288,"Reedsburg","4753",5,"Unified","Reedsburg Sch Dist",88.81777108,"88.8%",1188554835.87624,323568.892086296
289,"Reedsville","4760",7,"Unified","Reedsville Sch Dist",93.33333333,"93.3%",561980465.163405,168819.221983568
290,"Rhinelander","4781",9,"Unified","Rhinelander Sch Dist",93.70199693,"93.7%",2037741136.03156,331441.438285107
291,"Rib Lake","4795",9,"Unified","Rib Lake Sch Dist",86.72376874,"86.7%",1481338246.5835,218179.421342784
292,"Rice Lake Area","4802",11,"Unified","Rice Lake Area Sch Dist",91.79304193,"91.8%",1248540678.49088,242360.550110912
293,"Richland","4851",3,"Unified","Richland Sch Dist",81.14075437,"81.1%",1282291649.53569,424538.368086986
294,"Richmond","3122",1,"Elementary","Richmond Sch Dist",91.89189189,"91.9%",31546692.4092715,27453.0686685811
295,"Rio Community","4865",5,"Unified","Rio Community Sch Dist",91.52542373,"91.5%",370992356.241321,153749.525377865
296,"Mellen","3427",12,"Unified",,-3,"No data",1092736234.39935,152813.593235298
297,"Minocqua J1","3640",9,"Elementary",,-3,"No data",1334623515.92731,190677.2650375
298,"North Lake","3514",1,"Elementary",,-3,"No data",61198558.4188667,53124.4499078475
299,"Osseo-Fairchild","4186",10,"Unified",,-3,"No data",1473998051.98375,349276.753201481
300,"Phelps","4330",9,"Unified",,-3,"No data",582567583.651353,116571.465829883
301,"Port Washington-Saukville","4515",1,"Unified",,-3,"No data",152791229.846822,93827.2232637566
302,"Prentice","4571",9,"Unified",,-3,"No data",2210090005.2916,267678.311630966
303,"Ripon Area","4872",6,"Unified","Ripon Area Sch Dist",91.75118323,"91.8%",560042272.378436,237021.009261749
304,"River Falls","4893",11,"Unified","River Falls Sch Dist",87.90960452,"87.9%",737102424.419881,195972.678325558
305,"River Ridge","4904",3,"Unified","River Ridge Sch Dist",94.81765835,"94.8%",1014137101.42366,322243.255106828
306,"River Valley","5523",3,"Unified","River Valley Sch Dist",99.5507637,"99.6%",1457545685.36268,424571.817735589
307,"Riverdale","3850",3,"Unified","Riverdale Sch Dist",87.26708075,"87.3%",969225034.29063,324270.835124055
308,"Rosendale-Brandon","4956",6,"Unified","Rosendale-Brandon Sch Dist",91.60621762,"91.6%",642306408.192735,240586.498175822
309,"Rosholt","4963",5,"Unified","Rosholt Sch Dist",92.82407407,"92.8%",792149710.034761,194984.691841377
310,"Royall","1673",4,"Unified","Royall Sch Dist",94.20600858,"94.2%",590737680.938335,226726.885525539
311,"Saint Croix Central","2422",11,"Unified","Saint Croix Central Sch Dist",85.64905414,"85.6%",441144679.371919,169654.644963982
312,"Saint Croix Falls","5019",11,"Unified","Saint Croix Falls Sch Dist",89.66789668,"89.7%",787963682.217763,279062.355807236
313,"Saint Francis","5026",1,"Unified","Saint Francis Sch Dist",92.03373946,"92%",12412241.2610303,19854.2463182727
314,"Sauk Prairie","5100",5,"Unified","Sauk Prairie Sch Dist",91.60502959,"91.6%",1154216273.02588,313887.421763638
315,"Sevastopol","5130",7,"Unified","Sevastopol Sch Dist",81.81818182,"81.8%",606064294.841983,132338.684922963
316,"Seymour Community","5138",7,"Unified","Seymour Community Sch Dist",89.9948427,"90%",850403590.0916,188501.836795711
317,"Sharon J11","5258",2,"Elementary","Sharon J11 Sch Dist",93.33333333,"93.3%",92890501.0086919,57222.5525969457
318,"Shawano","5264",8,"Unified","Shawano Sch Dist",91.06120652,"91.1%",859846588.154363,242161.987306584
