"OBJECTID","SCHOOL","DIST_SCHL","DISTSCHL","ADDRESS","CITY","STATE","ZIP","MAIL_CITY","MAIL_ST","DISTRICT","COMMENT","WebAllPercentMinReq","WebAllPercentInProcess","WebAllPercentBehindSchedule","WebAllPercentNoRecord","WebAllPercentHealth","WebAllPercentRelig","WebAllPercentPers","WebAllPercentNoShots","WebAllPercentMinReq_TXT","WebAllPercentInProcess_TXT","WebAllPercentBehindSchedule_TXT","WebAllPercentNoRecord_TXT","WebAllPercentHealth_TXT","WebAllPercentRelig_TXT","WebAllPercentPers_TXT","WebAllPercentNoShots_TXT","LAT","LON"
44,"Bethlehem Evangelical Lutheran School","3437/0210",,"N84W15252 Menomonee Ave","Menomonee Falls","WI","53051-3152",,,"Menomonee Falls","Report received",96,4,4,4,4,4,10,8,">95%","<5%","<5%","<5%","<5%","<5%","10%","8%",43.17058501,-88.09931368
45,"Bethlehem Evangelical Lutheran School","2058/1367",,"N108W14290 Bel Aire Ln","Germantown","WI","53022",,,"Germantown","Report received",77,4,4,4,4,4,7,4,"77%","<5%","<5%","<5%","<5%","<5%","7%","<5%",43.21458754,-88.08720376
46,"Bethlehem Lutheran School","5271/0230",,"1121 Georgia Ave","Sheboygan","WI","53081-5311",,,"Sheboygan Area","Report received",88,4,4,4,4,4,8,4,"88%","<5%","<5%","<5%","<5%","<5%","8%","<5%",43.73963513,-87.7189116
47,"Bethlehem Lutheran School","2583/0200",,"126 N Pine","Hortonville","WI","54944",,,"Hortonville Area","Report received",81,4,4,4,4,4,9,9,"81%","<5%","<5%","<5%","<5%","<5%","9%","9%",44.3356462,-88.63864493
48,"Black River Mennonite School","5726/0236",,"W7436 County Rd N","Withee","WI","54498-9201",,,"Thorp","Report received",17,4,4,4,4,4,83,39,"17%","<5%","<5%","<5%","<5%","<5%","83%","39%",44.91696217,-90.68654161
49,"Blessed Carlo Acutis Academy","3549/1899",,"702 S High Point Rd","Madison","WI","53719-4925",,,"Middleton-Cross Plains Area","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.05113395,-89.52246805
50,"Blessed Sacrament Catholic School","3619/1304",,"3126 S 41st St","Milwaukee","WI","53215-4027",,,"Milwaukee","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",42.98800199,-87.96490461
51,"Blessed Sacrament Elementary","3269/0238",,"2112 Hollister Ave","Madison","WI","53726-3958",,,"Madison Metropolitan","Report received",95,4,4,4,4,4,4,4,"95%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",43.06671093,-89.42257208
52,"Blessed Sacrament Elementary","2849/1299",,"2404 King St","La Crosse","WI","54601-4398",,,"La Crosse","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.80970095,-91.21999068
53,"Blessed Savior Catholic School","3619/1507",,"5140 N 55th St","Milwaukee","WI","53218",,,"Milwaukee","Report received",89,4,7,4,4,4,4,4,"89%","<5%","7%","<5%","<5%","<5%","<5%","<5%",43.11139201,-87.98076864
54,"Blessed Trinity Catholic School","3150/6800",,"109 S Military Rd","Dane","WI","53529",,,"Lodi","Report received",36,15,4,25,4,15,7,8,"36%","15%","<5%","25%","<5%","15%","7%","8%",43.24927895,-89.50141909
55,"Bloom360 Learning Community","1540/1754",,"N8921 Stone School Rd","East Troy","WI","53120-2331",,,"East Troy Community","Report received, <10 students",-9,-9,-9,-9,-9,-9,-9,-9,"No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data",42.81436197,-88.33682869
56,"Blooming Grove Montessori School","3269/1778",,"4560 Rustic Dr","Madison","WI","53718-6559",,,"Madison Metropolitan","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.09667897,-89.26966098
57,"Bridge Academy","5859/1903",,"4380 67th Dr","Union Grove","WI","53182",,,"Union Grove J1","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",42.68203027,-88.03223633
58,"Brookfield Academy","0714/0256",,"3462 N Brookfield Rd","Brookfield","WI","53045-2500",,,"Elmbrook","Report received",96,4,4,4,4,4,4,4,">95%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",43.08244002,-88.14300763
59,"Brookfield Christian School","0714/1845",,"14155 W Burleigh Rd","Brookfield","WI","53005-7698",,,"Elmbrook","Report received",95,4,4,4,4,4,4,4,"95%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",43.074153,-88.08855868
60,"Burlington Catholic School","0777/5890",,"225 W State St","Burlington","WI","53105-1897",,,"Burlington Area","Report received",94,4,4,4,4,4,4,4,"94%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",42.67554525,-88.28078606
61,"Calvary Baptist Christian School","6125/0268",,"792 Milford St","Watertown","WI","53094-6022",,,"Watertown Unified","Report received",64,4,4,4,4,6,24,11,"64%","<5%","<5%","<5%","<5%","6%","24%","11%",43.17974099,-88.75152787
62,"Calvary Baptist School","3437/0270",,"N84W19049 Menomonee Ave","Menomonee Falls","WI","53051-2898",,,"Menomonee Falls","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.16760503,-88.14797266
63,"Capitoland Christian School","3269/1138",,"3651 Maple Grove Dr","Madison","WI","53719-4881",,,"Madison Metropolitan","Report received",96,4,4,4,4,4,4,4,">95%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",43.00922191,-89.49634005
64,"Carr Valley Amish School","6354/1589",,"S3057 County Road G","La Valle","WI","53941",,,"Weston","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.5348603,-90.16462985
65,"Carter's Christian Academy, Inc.","3619/1382",,"5268 N 35th St","Milwaukee","WI","53209",,,"Milwaukee","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.11343904,-87.95603757
66,"Cathedral Elementary","2849/0305",,"1319 Ferry St","La Crosse","WI","54601-4851",,,"La Crosse","Report received",92,4,4,4,4,4,6,4,"92%","<5%","<5%","<5%","<5%","<5%","6%","<5%",43.80607494,-91.23677662
67,"Cathedral School","5663/0306",,"1419 Baxter Ave","Superior","WI","54880-1798",,,"Superior","Report received",85,4,4,4,4,4,11,4,"85%","<5%","<5%","<5%","<5%","<5%","11%","<5%",46.72155534,-92.09528428
68,"Catholic Central High School","0777/0307",,"148 McHenry St","Burlington","WI","53105-1826",,,"Burlington Area","Report received",96,4,4,4,4,4,4,4,">95%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",42.67472628,-88.28160117
69,"Catholic East Elementary","3619/0309",,"2461 N Murray Ave","Milwaukee","WI","53211-4493",,,"Milwaukee","Report received",88,4,7,4,4,4,4,4,"88%","<5%","7%","<5%","<5%","<5%","<5%","<5%",43.06294301,-87.88583458
70,"Catholic Memorial High School of Waukesha, Inc.","6174/0310",,"601 E College Ave","Waukesha","WI","53186-5598",,,"Waukesha","Report received",96,4,4,4,4,4,4,4,">95%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",43.00220901,-88.21999668
71,"Celebration Lutheran School","0147/1175",,"3100 E Evergreen Dr","Appleton","WI","54913-9206",,,"Appleton Area","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",44.30266719,-88.36266188
72,"Central Wisconsin Christian School","6216/8650",,"301 Fox Lake Rd","Waupun","WI","53963-1798",,,"Waupun","Report received",89,4,4,4,4,4,9,5,"89%","<5%","<5%","<5%","<5%","<5%","9%","5%",43.62813408,-88.75313489
73,"CERT School","4620/1698",,"1437 Marquette St","Racine","WI","53404-2743",,,"Racine Unified","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",42.73910499,-87.79257554
74,"CERT School","3619/1743",,"2224 W Kilbourn Ave","Milwaukee","WI","53233-1614",,,"Milwaukee","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.04248601,-87.94091762
75,"Chesterton Academy of Milwaukee, Inc.","3437/1734",,"N74W13646 Appleton Ave","Menomonee Falls","WI","53051",,,"Menomonee Falls","Report received",59,4,4,4,4,7,32,12,"59%","<5%","<5%","<5%","<5%","7%","32%","12%",43.15298804,-88.07973967
76,"Chileda","2849/0329",,"1825 Victory St","La Crosse","WI","54601-7201",,,"La Crosse","Report received",73,4,11,5,4,4,5,4,"73%","<5%","11%","5%","<5%","<5%","5%","<5%",43.78021094,-91.22888966
77,"Chilton Area Catholic School","1085/0330",,"60 E Washington St","Chilton","WI","53014-1262",,,"Chilton","Report received",96,4,4,4,4,4,4,4,">95%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",44.03021614,-88.1608986
78,"Christ Alone Lutheran Academy","3689/4880",,"313 E Montello St","Montello","WI","53949-9603",,,"Montello","Report received",89,4,4,4,11,4,4,4,"89%","<5%","<5%","<5%","11%","<5%","<5%","<5%",43.79137805,-89.31869905
79,"Christ Alone Lutheran Academy","4606/1889",,"227 Harvard St","Princeton","WI","54968",,,"Princeton","Report received",77,4,4,4,20,4,4,4,"77%","<5%","<5%","<5%","20%","<5%","<5%","<5%",43.8483771,-89.12502004
80,"Christ Alone Lutheran School","3479/0280",,"110 Division St","Thiensville","WI","53092-1901",,,"Mequon-Thiensville","Report received",92,4,4,4,4,4,4,4,"92%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",43.22601003,-87.98526261
81,"Christ Child Academy","5271/0346",,"2722 Henry St","Sheboygan","WI","53081-6720",,,"Sheboygan Area","Report received",93,4,4,4,4,4,4,4,"93%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",43.72488813,-87.7227816
82,"Christ King School","6244/0350",,"2646 N Swan Blvd","Wauwatosa","WI","53226-1847",,,"Wauwatosa","Report received",96,4,4,4,4,4,4,4,">95%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",43.066711,-88.02669561
83,"Christ Lutheran Grade School","6384/0360",,"N6412 State Road 49","Weyauwega","WI","54983-5618",,,"Weyauwega-Fremont","Report received",60,20,5,4,5,4,4,4,"60%","20%","5%","<5%","5%","<5%","<5%","<5%",44.21100316,-88.97205307
84,"Christ Lutheran School","1092/0385",,"467 E Colome St","Chippewa Falls","WI","54729-3644",,,"Chippewa Falls Area Unified","Report received",68,4,5,5,4,4,19,16,"68%","<5%","5%","5%","<5%","<5%","19%","16%",44.91105813,-91.3812658
85,"Christ Lutheran School","1526/0370",,"201 N 3rd St","Eagle River","WI","54521",,,"Northland Pines","Report received",77,4,4,4,4,6,10,16,"77%","<5%","<5%","<5%","<5%","6%","10%","16%",45.9177264,-89.24582734
86,"Christ Lutheran School","3822/0365",,"W229S8930 Clark St","Big Bend","WI","53103-9691",,,"Mukwonago","Report received",82,4,4,4,4,4,4,11,"82%","<5%","<5%","<5%","<5%","<5%","<5%","11%",42.88218798,-88.20809562
87,"Christ St John's Lutheran School","6370/0355",,"500 Park St","West Salem","WI","54669-1130",,,"West Salem","Report received",96,4,4,4,4,4,7,4,">95%","<5%","<5%","<5%","<5%","<5%","7%","<5%",43.90132196,-91.08723958
88,"Christ St. Peter Lutheran School","3619/1305",,"2229 W Greenfield Ave","Milwaukee","WI","53204-1910",,,"Milwaukee","Report received",72,4,20,4,4,4,4,4,"72%","<5%","20%","<5%","<5%","<5%","<5%","<5%",43.016808,-87.94165857
89,"Christ the Lord Evangelical Lutheran School","0714/0393",,"1650 N Brookfield Rd","Brookfield","WI","53045-2326",,,"Elmbrook","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.05337702,-88.14500864
90,"Christian Education Leadership Academy (CELA)","4312/1722",,"W262N4685 Ryan St","Pewaukee","WI","53072-1810",,,"Pewaukee","Report received",87,4,4,4,4,4,5,4,"87%","<5%","<5%","<5%","<5%","<5%","5%","<5%",43.10254703,-88.2720987
91,"Christian Faith Academy of Higher Learning","3619/1384",,"3965 N 15th St","Milwaukee","WI","53206-2916",,,"Milwaukee","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.08906404,-87.93020563
92,"Christian Life School","2793/0343",,"10700 75th St","Kenosha","WI","53142-8331",,,"Kenosha","Report received",70,4,9,6,4,6,7,8,"70%","<5%","9%","6%","<5%","6%","7%","8%",42.56920595,-87.93788852
93,"Clara Mohammed School","3619/1044",,"317 W Wright St","Milwaukee","WI","53212-2729",,,"Milwaukee","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.06380404,-87.91453557
94,"Clearview Amish School","0063/1582",,"W114 Atkinson Rd","Albany","WI","53502",,,"Albany","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",42.6918339,-89.36891502
95,"Clinton Amish Schools","0980/0420",,"S611 County Road D","Cashton","WI","54619",,,"Cashton","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.70735595,-90.72631051
96,"Columbus Catholic High","3339/0430",,"710 S Columbus Ave","Marshfield","WI","54449-3499",,,"Marshfield Unified","Report received",90,4,4,4,4,4,6,4,"90%","<5%","<5%","<5%","<5%","<5%","6%","<5%",44.66413517,-90.19346743
97,"Columbus Catholic Middle","3339/1031",,"710 S Columbus Ave","Marshfield","WI","54449-3413",,,"Marshfield Unified","Report received",96,4,4,4,4,4,10,4,">95%","<5%","<5%","<5%","<5%","<5%","10%","<5%",44.66413517,-90.19346743
