"geography","geography_name","grade","n_enrolled","pct_no_record","pct_pbe","pct_me","pct_re","pct_utd_mmr","pct_utd_polio","pct_utd_dtap","pct_utd_hepb","pct_utd_chickenpox","pct_utd_tdap","pct_utd_mcv4"
38011,"Bowman County","11",285,0.701473684210526,1.05245614035088,0,1.054,97.194,96.4919649122807,NA,97.194,95.440701754386,63.1582105263158,63.509298245614
38011,"Bowman County","7",409,11.2480684596577,2.44493887530562,0,1.22308068459658,95.110586797066,95.5983129584352,NA,95.3536674816626,93.8877506112469,51.8341320293399,48.1676772616137
38011,"Bowman County","Kindergarten",304,0.32891447368421,2.42078947368421,0.328421052631579,1.38519736842105,90.5892105263158,91.2529605263158,90.588552631579,93.0181907894737,90.5892105263158,NA,NA
38013,"Burke County","11",191,1.65492146596859,4.27020942408377,0,3.39921465968586,89.7102094240838,89.1028795811518,NA,90.7561780104712,88.0546596858639,86.3935078534031,74.8052879581152
38013,"Burke County","7",227,3.08872246696035,4.57092511013216,0.439735682819383,3.24660792951542,90.4232599118943,90.4232599118943,NA,91.3849339207049,89.9831718061674,83.4866079295154,83.4866079295154
38013,"Burke County","Kindergarten",225,3.67675555555556,1.38262222222222,0.4444,2.91093333333333,84.8780444444444,86.4160444444445,85.9227111111111,89.7598222222222,85.3932444444444,NA,NA
38015,"Burleigh County","11",6978,0.819131556319862,1.678796216681,0.130563198624248,0.517702780166237,96.1558182860418,96.0982874749212,NA,96.6158799082832,95.6403983949556,94.9946617942104,89.773331900258
38015,"Burleigh County","7",7208,0.62619589345172,2.26489594894562,0.223471143174251,0.639901498335183,96.5212486126526,96.6476401220866,NA,97.2603496115427,96.1190316315205,93.3840455049944,92.9661376248613
38015,"Burleigh County","Kindergarten",8654,0.464686850011555,4.56067829905246,0.301919343656113,1.82802287959325,92.0529154148371,91.9962780217241,91.8224890224174,94.4070302750173,91.5456840767275,NA,NA
38017,"Cass County","11",11741,0.562788518865514,1.08217443147943,0.0429775998637254,0.263604462992931,98.2019981262243,98.0757439741078,NA,98.2378826335065,97.9134945916021,97.4257882633507,88.2897231922323
38017,"Cass County","7",12788,0.9623037222396,1.72871911166719,0.0569580857053488,0.500882076947138,97.2437136377854,97.0873662808883,NA,97.3533171723491,96.9149773224898,92.2184438536128,91.9234196121364
38017,"Cass County","Kindergarten",16404,0.952593879541575,2.27748415020727,0.250935137771275,1.05666057059254,94.204069739088,93.7354706169227,93.5359009997562,95.8006693489393,93.9356486222872,NA,NA
38019,"Cavalier County","11",231,2.59636363636364,0,0,0.432467532467533,99.5675324675325,99.5675324675325,NA,100,99.1348051948052,96.9698268398269,96.5375324675324
38019,"Cavalier County","7",198,3.1149494949495,1.01010101010101,0,0.504444444444444,96.970303030303,96.4647474747475,NA,96.9691919191919,96.4657575757576,93.350101010101,93.8561616161616
38019,"Cavalier County","Kindergarten",375,0,0.266933333333333,0.266,1.35768,98.1078666666667,98.1326133333333,97.5987466666667,98.666,97.86568,NA,NA
38021,"Dickey County","11",389,0.5146529562982,2.82928020565553,0,0,96.6577377892031,96.6577377892031,NA,96.9139845758355,96.6568123393316,96.4004627249357,86.1187146529563
38021,"Dickey County","7",449,0.445924276169265,2.90844097995546,0,0,96.4228062360802,96.4228730512249,NA,95.3081737193764,96.1874610244989,90.7918040089087,90.111135857461
38021,"Dickey County","Kindergarten",393,0.555725190839695,5.57496183206107,0,0,90.4772773536896,90.2223918575064,89.7139694656489,92.8600508905852,90.2220610687023,NA,NA
38023,"Divide County","11",177,2.41005649717514,1.84564971751412,0,0.564406779661017,96.4579096045198,97.024011299435,NA,97.024011299435,97.024011299435,96.4579096045198,87.9843502824859
