"OBJECTID","Year","Survey_Type","Vaccine","Metric","Value_Percent","Enrollment"
478,"2025/2026","School","HepB","Fully Immunized",93.7,849507
479,"2017/2018","Child Care/Preschool","DTaP","In Process",2,106593
480,"2017/2018","Child Care/Preschool","DTaP","Nonmedical Exemption",2.4,106593
481,"2017/2018","School","Varicella","No Record",0.7,880843
482,"2018/2019","Child Care/Preschool","HepB","Incomplete Record",1.6,92382
483,"2018/2019","Kindergarten","HepB","No Record",1.8,64179
484,"2018/2019","School","DTaP","Medical Exemption",0.1,864485
485,"2018/2019","School","HepB","Medical Exemption",0.1,864485
486,"2019/2020","Kindergarten","MMR","No Record",1,67876
487,"2020/2021","Child Care/Preschool","MMR","In Process",0.9,82985
488,"2020/2021","Kindergarten","MMR","No Record",1.3,61888
489,"2020/2021","School","DTaP","Medical Exemption",0.1,867411
490,"2021/2022","Child Care/Preschool","PCV","Nonmedical Exemption",1.9,92664
491,"2021/2022","Child Care/Preschool","Varicella","Fully Immunized",94.3,92664
492,"2022/2023","School","HepB","Fully Immunized",94,870984
493,"2024/2025","School","Polio","In Process",0.3,851736
494,"2024/2025","School","Varicella","Incomplete Record",2.9,851736
495,"2025/2026","Child Care/Preschool","DTaP","Medical Exemption",0.2,97807
496,"2017/2018","Child Care/Preschool","HepB","Nonmedical Exemption",3.1,106593
497,"2017/2018","Child Care/Preschool","MMR","Nonmedical Exemption",2.4,106593
498,"2017/2018","Kindergarten","HepB","Medical Exemption",0.1,65718
499,"2017/2018","Kindergarten","Polio","Fully Immunized",88.6,65718
500,"2017/2018","School",,"Summary Compliant",93.1,880843
501,"2018/2019","Child Care/Preschool","HepB","Nonmedical Exemption",3,92382
502,"2018/2019","Kindergarten","Varicella","In Process",0.6,64179
503,"2020/2021","Kindergarten","DTaP","No Record",1.3,61888
504,"2020/2021","Kindergarten","MMR","Incomplete Record",4,61888
505,"2021/2022","Child Care/Preschool","Hib","Incomplete Record",1.7,92664
506,"2021/2022","Kindergarten","Polio","No Record",1.5,65253
507,"2022/2023","Child Care/Preschool","Polio","Fully Immunized",94.2,95552
508,"2022/2023","Kindergarten","DTaP","Medical Exemption",0.2,63887
509,"2022/2023","School","Polio","Nonmedical Exemption",2.4,870984
510,"2023/2024","Child Care/Preschool","Hib","Fully Immunized",93.9,90894
511,"2023/2024","Child Care/Preschool","Varicella","In Process",1.3,90894
512,"2023/2024","School","Tdap","Incomplete Record",5.1,483364
513,"2024/2025","Child Care/Preschool","Polio","Medical Exemption",0.1,94156
514,"2024/2025","Kindergarten","MMR","No Record",2.4,60055
515,"2024/2025","Kindergarten","Varicella","In Process",0.8,60055
516,"2025/2026","School","MMR","Fully Immunized",93.4,849507
517,"2025/2026","School","MMR","Medical Exemption",0.2,849507
518,"2017/2018","School","HepB","Fully Immunized",94.7,880843
519,"2018/2019","Child Care/Preschool","Varicella","Fully Immunized",93.7,92382
520,"2018/2019","School","DTaP","Incomplete Record",1.4,864485
521,"2018/2019","School","MMR","Medical Exemption",0.1,864485
522,"2019/2020","Child Care/Preschool","Polio","In Process",1.3,108348
523,"2019/2020","School","MMR","Nonmedical Exemption",2.9,899626
524,"2020/2021","Child Care/Preschool","Varicella","Fully Immunized",93.4,82985
525,"2021/2022","Child Care/Preschool","DTaP","Incomplete Record",2,92664
526,"2021/2022","Kindergarten","Varicella","Medical Exemption",0.1,65253
527,"2023/2024","Child Care/Preschool","Varicella","Nonmedical Exemption",2.7,90894
528,"2023/2024","School","MMR","No Record",1.5,853939
529,"2024/2025","Kindergarten","HepB","In Process",0.3,60055
530,"2024/2025","Kindergarten","Polio","Fully Immunized",87.6,60055
531,"2025/2026","Child Care/Preschool","DTaP","No Record",0.6,97807
532,"2017/2018","School","Tdap","Nonmedical Exemption",2.7,490361
533,"2018/2019","Kindergarten","Varicella","Incomplete Record",6,64179
534,"2018/2019","School","Varicella","Nonmedical Exemption",3.1,864485
535,"2019/2020","Child Care/Preschool","Hib","Medical Exemption",0.1,108348
536,"2019/2020","Kindergarten","DTaP","Nonmedical Exemption",3.7,67876
537,"2020/2021","Child Care/Preschool","MMR","Incomplete Record",1,82985
538,"2021/2022","Kindergarten","DTaP","Medical Exemption",0.1,65253
539,"2021/2022","Kindergarten","MMR","Incomplete Record",6.7,65253
540,"2021/2022","School","Varicella","Nonmedical Exemption",2,866857
541,"2022/2023","Child Care/Preschool","Polio","Incomplete Record",1.5,95552
542,"2022/2023","School","MMR","Incomplete Record",2.1,870984
543,"2023/2024","Child Care/Preschool","PCV","Nonmedical Exemption",2.5,90894
544,"2023/2024","School","HepB","Medical Exemption",0.1,853939
545,"2024/2025","Child Care/Preschool","Hib","Nonmedical Exemption",2.8,94156
546,"2025/2026","Child Care/Preschool","Varicella","In Process",2.3,97807
547,"2025/2026","School","HepB","In Process",0.2,849507
548,"2017/2018","Child Care/Preschool","Varicella","Fully Immunized",93.1,106593
549,"2017/2018","Kindergarten","MMR","No Record",0.9,65718
550,"2018/2019","School","HepB","In Process",0.2,864485
551,"2019/2020","Child Care/Preschool","HepB","Fully Immunized",94.1,108348
552,"2020/2021","Kindergarten","Varicella","Nonmedical Exemption",4,61888
553,"2021/2022","School","MMR","Fully Immunized",94.4,866857
554,"2022/2023","Child Care/Preschool","DTaP","Fully Immunized",93.4,95552
555,"2022/2023","Child Care/Preschool","PCV","No Record",1,95552
556,"2022/2023","Child Care/Preschool","Polio","In Process",1,95552
557,"2023/2024","Child Care/Preschool","DTaP","Medical Exemption",0.3,90894
558,"2023/2024","Kindergarten","Varicella","Medical Exemption",0.2,61748
559,"2024/2025","Child Care/Preschool","PCV","Incomplete Record",1.5,94156
560,"2024/2025","Kindergarten","Polio","Medical Exemption",0.1,60055
561,"2025/2026","Child Care/Preschool","Polio","In Process",2.3,97807
562,"2025/2026","Kindergarten","DTaP","Incomplete Record",5.6,60049
563,"2025/2026","Kindergarten","DTaP","No Record",2.2,60049
564,"2025/2026","School","Tdap","Medical Exemption",0.2,478101
565,"2017/2018","School","DTaP","In Process",0.3,880843
566,"2018/2019","Child Care/Preschool","Varicella","Incomplete Record",1.1,92382
567,"2018/2019","Kindergarten","MMR","Medical Exemption",0.1,64179
568,"2018/2019","Kindergarten","Polio","Nonmedical Exemption",4.5,64179
569,"2018/2019","School","Polio","In Process",0.2,864485
570,"2019/2020","School","MMR","Fully Immunized",95,899626
571,"2020/2021","Child Care/Preschool","Polio","No Record",2,82985
572,"2020/2021","Child Care/Preschool","Varicella","Nonmedical Exemption",2.3,82985
573,"2020/2021","School","MMR","No Record",0.7,867411
574,"2020/2021","School","Polio","Incomplete Record",1.6,867411
575,"2020/2021","School","Polio","No Record",0.7,867411
576,"2021/2022","Child Care/Preschool","PCV","Medical Exemption",0.2,92664
577,"2021/2022","Kindergarten","DTaP","No Record",1.5,65253
578,"2022/2023","Kindergarten","Varicella","Medical Exemption",0.3,63887
579,"2023/2024","Kindergarten","Polio","Incomplete Record",5.3,61748
580,"2024/2025","Child Care/Preschool","MMR","Fully Immunized",93,94156
581,"2024/2025","Child Care/Preschool","MMR","Medical Exemption",0.1,94156
582,"2025/2026","Kindergarten","Varicella","Fully Immunized",86.7,60049
583,"2025/2026","School","DTaP","In Process",0.3,849507
584,"2025/2026","School","Varicella","Nonmedical Exemption",2.8,849507
585,"2017/2018","Child Care/Preschool","Varicella","No Record",0.8,106593
586,"2017/2018","Kindergarten","Varicella","Nonmedical Exemption",4.5,65718
587,"2017/2018","School","DTaP","Fully Immunized",94.3,880843
588,"2017/2018","School","Polio","Fully Immunized",94.3,880843
589,"2018/2019","Child Care/Preschool","Hib","In Process",0.9,92382
590,"2019/2020","Child Care/Preschool","Hib","In Process",1.1,108348
591,"2019/2020","Kindergarten","Varicella","No Record",1,67876
592,"2019/2020","School","DTaP","Incomplete Record",0.9,899626
593,"2019/2020","School","MMR","Medical Exemption",0.1,899626
594,"2020/2021","School","Polio","Fully Immunized",94.9,867411
595,"2021/2022","School","Tdap","Nonmedical Exemption",1.9,484058
596,"2022/2023","Kindergarten","MMR","Incomplete Record",5.8,63887
597,"2022/2023","School","MMR","No Record",1.5,870984
598,"2022/2023","School","Polio","Incomplete Record",2.3,870984
599,"2023/2024","Child Care/Preschool","PCV","Fully Immunized",93.8,90894
600,"2023/2024","Child Care/Preschool","Varicella","Medical Exemption",0.4,90894
601,"2023/2024","Kindergarten","MMR","Incomplete Record",4.8,61748
602,"2024/2025","Child Care/Preschool","HepB","Nonmedical Exemption",3,94156
603,"2024/2025","Child Care/Preschool","Hib","No Record",1,94156
604,"2024/2025","Child Care/Preschool","MMR","No Record",1,94156
605,"2024/2025","Kindergarten","DTaP","Fully Immunized",87.4,60055
606,"2025/2026","Child Care/Preschool","Polio","No Record",0.6,97807
607,"2025/2026","Kindergarten","Polio","Medical Exemption",0.1,60049
608,"2025/2026","School",,"Summary Compliant",92.1,849507
609,"2025/2026","School","HepB","Incomplete Record",2.1,849507
610,"2025/2026","School","Varicella","In Process",0.2,849507
611,"2017/2018","Kindergarten","HepB","No Record",0.8,65718
612,"2018/2019","School","Polio","Medical Exemption",0.1,864485
613,"2019/2020","Child Care/Preschool","HepB","Medical Exemption",0.1,108348
614,"2019/2020","Child Care/Preschool","MMR","Fully Immunized",94.5,108348
