"OBJECTID","Year","Survey_Type","Vaccine","Metric","Value_Percent","Enrollment"
1,"2017/2018","Child Care/Preschool","DTaP","Incomplete Record",1.7,106593
2,"2017/2018","Child Care/Preschool","PCV","Medical Exemption",0.1,106593
3,"2017/2018","Kindergarten","HepB","Incomplete Record",2.6,65718
4,"2017/2018","School","HepB","Medical Exemption",0.1,880843
5,"2018/2019","Child Care/Preschool","DTaP","Medical Exemption",0.1,92382
6,"2018/2019","Kindergarten","Polio","Fully Immunized",87.2,64179
7,"2018/2019","School","Tdap","In Process",0.3,470136
8,"2020/2021","Child Care/Preschool","DTaP","Fully Immunized",92.9,82985
9,"2021/2022","Child Care/Preschool","Hib","In Process",0.8,92664
10,"2021/2022","School",,"Summary Compliant",91.7,866857
11,"2021/2022","School","MMR","No Record",0.9,866857
12,"2022/2023","Kindergarten","MMR","Nonmedical Exemption",3.8,63887
13,"2022/2023","School","HepB","Incomplete Record",1.9,870984
14,"2022/2023","School","Tdap","In Process",0.3,494743
15,"2022/2023","School","Varicella","No Record",1.5,870984
16,"2023/2024","Child Care/Preschool","HepB","In Process",0.9,90894
17,"2023/2024","Child Care/Preschool","Hib","Medical Exemption",0.3,90894
18,"2023/2024","Kindergarten","HepB","No Record",2.3,61748
19,"2023/2024","School","MMR","Medical Exemption",0.2,853939
20,"2024/2025","School","Polio","Medical Exemption",0.1,851736
21,"2025/2026","Child Care/Preschool","Hib","Nonmedical Exemption",3.2,97807
22,"2025/2026","Child Care/Preschool","Varicella","No Record",0.6,97807
23,"2017/2018","Child Care/Preschool","HepB","No Record",0.7,106593
24,"2017/2018","Child Care/Preschool","PCV","No Record",1,106593
25,"2017/2018","Kindergarten","Varicella","Incomplete Record",6,65718
26,"2017/2018","School","MMR","No Record",0.6,880843
27,"2018/2019","Child Care/Preschool","DTaP","Fully Immunized",93.5,92382
28,"2018/2019","Child Care/Preschool","Hib","Incomplete Record",1.3,92382
29,"2019/2020","Child Care/Preschool","MMR","Nonmedical Exemption",2.5,108348
30,"2019/2020","Kindergarten","MMR","In Process",0.4,67876
31,"2020/2021","Child Care/Preschool","DTaP","In Process",1.1,82985
32,"2020/2021","Child Care/Preschool","Hib","Incomplete Record",1.3,82985
33,"2020/2021","School","HepB","In Process",0.1,867411
34,"2020/2021","School","Tdap","Fully Immunized",91.3,487860
35,"2021/2022","Child Care/Preschool","Polio","Nonmedical Exemption",2,92664
36,"2022/2023","School","DTaP","No Record",1.5,870984
37,"2023/2024","Child Care/Preschool","PCV","In Process",1,90894
38,"2023/2024","Child Care/Preschool","PCV","Incomplete Record",1.5,90894
39,"2023/2024","Child Care/Preschool","PCV","No Record",0.8,90894
40,"2023/2024","Child Care/Preschool","Varicella","No Record",0.7,90894
41,"2024/2025","School","DTaP","In Process",0.3,851736
42,"2024/2025","School","Tdap","Fully Immunized",89.2,484896
43,"2025/2026","Child Care/Preschool","PCV","In Process",1.2,97807
44,"2025/2026","Kindergarten","HepB","No Record",2.2,60049
45,"2025/2026","School","DTaP","No Record",1.5,849507
46,"2025/2026","School","HepB","Medical Exemption",0.2,849507
47,"2017/2018","Child Care/Preschool","DTaP","No Record",0.7,106593
48,"2017/2018","Child Care/Preschool","Hib","Fully Immunized",93.8,106593
49,"2017/2018","Child Care/Preschool","Polio","Nonmedical Exemption",2.5,106593
50,"2017/2018","School","Varicella","Fully Immunized",92.9,880843
51,"2018/2019","Child Care/Preschool",,"Summary Compliant",94.6,92382
52,"2019/2020","Child Care/Preschool","HepB","Incomplete Record",1,108348
53,"2019/2020","Child Care/Preschool","MMR","Medical Exemption",0.2,108348
54,"2019/2020","Kindergarten","Varicella","Incomplete Record",3.3,67876
55,"2019/2020","School","Tdap","Fully Immunized",92.5,495607
56,"2020/2021","Child Care/Preschool","HepB","No Record",2,82985
57,"2020/2021","Child Care/Preschool","PCV","Fully Immunized",93.6,82985
58,"2020/2021","Kindergarten","HepB","In Process",0.2,61888
59,"2020/2021","School","HepB","Incomplete Record",1.4,867411
60,"2021/2022","School","DTaP","No Record",0.9,866857
61,"2022/2023","Child Care/Preschool","Varicella","Incomplete Record",1.4,95552
62,"2022/2023","Kindergarten","Polio","Nonmedical Exemption",3.9,63887
63,"2022/2023","Kindergarten","Varicella","Incomplete Record",6.6,63887
64,"2022/2023","School","DTaP","Medical Exemption",0.1,870984
65,"2023/2024","Child Care/Preschool","HepB","Fully Immunized",93.9,90894
66,"2024/2025","Kindergarten","HepB","Fully Immunized",91.3,60055
67,"2025/2026","Child Care/Preschool","HepB","Nonmedical Exemption",3.4,97807
68,"2025/2026","Kindergarten","HepB","Nonmedical Exemption",3.5,60049
69,"2025/2026","Kindergarten","MMR","Incomplete Record",5.1,60049
70,"2017/2018","Child Care/Preschool","MMR","In Process",1.8,106593
71,"2017/2018","Kindergarten","Polio","In Process",0.8,65718
72,"2017/2018","School","MMR","In Process",0.2,880843
73,"2017/2018","School","Varicella","In Process",0.3,880843
74,"2018/2019","Kindergarten","HepB","Nonmedical Exemption",4.1,64179
75,"2019/2020","Child Care/Preschool","PCV","Fully Immunized",94.5,108348
76,"2020/2021","Child Care/Preschool","PCV","No Record",2,82985
77,"2020/2021","Child Care/Preschool","Varicella","No Record",2,82985
78,"2020/2021","School","DTaP","Fully Immunized",95.1,867411
79,"2021/2022","Child Care/Preschool","Polio","Incomplete Record",1.6,92664
80,"2021/2022","School","DTaP","Medical Exemption",0.2,866857
81,"2022/2023","Child Care/Preschool","Varicella","Nonmedical Exemption",2.2,95552
82,"2024/2025","Child Care/Preschool","MMR","Nonmedical Exemption",2.9,94156
83,"2024/2025","Kindergarten","Varicella","Incomplete Record",5.8,60055
84,"2024/2025","School","DTaP","Medical Exemption",0.1,851736
85,"2024/2025","School","DTaP","No Record",1.7,851736
86,"2025/2026","Child Care/Preschool","Varicella","Fully Immunized",92.2,97807
87,"2025/2026","Child Care/Preschool","Varicella","Incomplete Record",1.2,97807
88,"2025/2026","Kindergarten","MMR","No Record",2.2,60049
89,"2017/2018","Kindergarten","MMR","Incomplete Record",5.4,65718
90,"2018/2019","School","MMR","Fully Immunized",94.3,864485
91,"2019/2020","Child Care/Preschool","Hib","Fully Immunized",94.8,108348
92,"2019/2020","School","Polio","Incomplete Record",1.4,899626
93,"2021/2022","Child Care/Preschool","DTaP","In Process",1.2,92664
94,"2021/2022","Child Care/Preschool","HepB","Fully Immunized",94.3,92664
95,"2021/2022","Kindergarten","Varicella","Nonmedical Exemption",3,65253
96,"2021/2022","School","Polio","In Process",0.2,866857
97,"2022/2023","Kindergarten","HepB","In Process",0.3,63887
98,"2022/2023","Kindergarten","HepB","No Record",2.8,63887
99,"2022/2023","School","MMR","Medical Exemption",0.1,870984
100,"2023/2024","Child Care/Preschool","Hib","No Record",0.8,90894
101,"2023/2024","Kindergarten","Polio","In Process",0.5,61748
102,"2023/2024","School","Polio","Incomplete Record",2.3,853939
103,"2024/2025","Kindergarten","Polio","Incomplete Record",5.3,60055
104,"2017/2018","Child Care/Preschool","Varicella","Nonmedical Exemption",2.8,106593
105,"2017/2018","School","DTaP","Medical Exemption",0.1,880843
106,"2017/2018","School","HepB","Incomplete Record",1.6,880843
107,"2018/2019","Child Care/Preschool","MMR","Fully Immunized",94.3,92382
108,"2019/2020","Kindergarten","Polio","No Record",1,67876
109,"2019/2020","School","HepB","In Process",0.2,899626
110,"2021/2022","School","Tdap","In Process",0.3,484058
111,"2023/2024","School","Tdap","No Record",1.7,483364
112,"2024/2025","Child Care/Preschool","Polio","Nonmedical Exemption",2.9,94156
113,"2025/2026","Kindergarten","DTaP","Nonmedical Exemption",4.4,60049
114,"2025/2026","School","Tdap","Incomplete Record",5.5,478101
115,"2017/2018","Kindergarten","MMR","Medical Exemption",0.1,65718
116,"2017/2018","School","HepB","No Record",0.6,880843
117,"2017/2018","School","MMR","Nonmedical Exemption",2.8,880843
118,"2017/2018","School","Tdap","Incomplete Record",4.5,490361
119,"2018/2019","Child Care/Preschool","MMR","Incomplete Record",0.9,92382
120,"2019/2020","Child Care/Preschool","DTaP","Fully Immunized",93.8,108348
121,"2019/2020","Kindergarten","MMR","Nonmedical Exemption",4.4,67876
122,"2019/2020","School","Varicella","In Process",0.2,899626
123,"2020/2021","Kindergarten","Polio","In Process",0.4,61888
124,"2021/2022","Kindergarten","DTaP","In Process",0.6,65253
125,"2021/2022","School","HepB","Medical Exemption",0.2,866857
126,"2022/2023","Kindergarten",,"Summary Compliant",88.4,63887
127,"2023/2024","Kindergarten","Varicella","Incomplete Record",5.4,61748
128,"2024/2025","Child Care/Preschool","Polio","No Record",1,94156
129,"2024/2025","School","Varicella","Medical Exemption",0.2,851736
130,"2025/2026","Child Care/Preschool","Hib","Incomplete Record",1.3,97807
131,"2025/2026","Kindergarten","Varicella","No Record",2.2,60049
132,"2017/2018","Child Care/Preschool","Hib","Nonmedical Exemption",2.4,106593
133,"2017/2018","Kindergarten","HepB","In Process",0.4,65718
134,"2017/2018","School","DTaP","Nonmedical Exemption",2.6,880843
135,"2017/2018","School","HepB","Nonmedical Exemption",2.8,880843
136,"2018/2019","Child Care/Preschool","MMR","No Record",1,92382
137,"2018/2019","Kindergarten","Polio","No Record",1.8,64179
138,"2018/2019","School","Polio","No Record",1,864485
139,"2019/2020","School","DTaP","Medical Exemption",0.1,899626
140,"2019/2020","School","Varicella","Medical Exemption",0.2,899626
141,"2020/2021","Child Care/Preschool","PCV","In Process",0.8,82985
142,"2020/2021","School","Varicella","Medical Exemption",0.2,867411
143,"2021/2022","School","MMR","Nonmedical Exemption",1.9,866857
144,"2022/2023","Child Care/Preschool","DTaP","In Process",1.3,95552
145,"2022/2023","Child Care/Preschool","HepB","No Record",0.9,95552
146,"2022/2023","Child Care/Preschool","MMR","No Record",0.9,95552
147,"2022/2023","Child Care/Preschool","PCV","Fully Immunized",94.1,95552
148,"2022/2023","Kindergarten","MMR","Medical Exemption",0.3,63887
149,"2022/2023","Kindergarten","Polio","No Record",2.8,63887
150,"2022/2023","Kindergarten","Varicella","In Process",0.6,63887
151,"2022/2023","School","DTaP","Incomplete Record",2.2,870984
152,"2023/2024","Child Care/Preschool","DTaP","Incomplete Record",1.9,90894
153,"2023/2024","Child Care/Preschool","HepB","Medical Exemption",0.3,90894
154,"2024/2025","Child Care/Preschool","MMR","In Process",1.9,94156
155,"2024/2025","Child Care/Preschool","Varicella","Medical Exemption",0.1,94156
156,"2024/2025","School","HepB","Medical Exemption",0.1,851736
157,"2025/2026","Child Care/Preschool","HepB","Fully Immunized",93.2,97807
158,"2025/2026","School","HepB","No Record",1.5,849507
159,"2017/2018","Child Care/Preschool","HepB","Incomplete Record",1.4,106593
160,"2017/2018","Child Care/Preschool","MMR","Fully Immunized",93.8,106593
161,"2018/2019","Kindergarten","MMR","Nonmedical Exemption",4.4,64179
162,"2019/2020","School","Polio","Medical Exemption",0.1,899626
163,"2019/2020","School","Varicella","Incomplete Record",1.5,899626
164,"2020/2021","Kindergarten","DTaP","In Process",0.4,61888
165,"2020/2021","School","MMR","Nonmedical Exemption",2.5,867411
166,"2021/2022","Child Care/Preschool","MMR","Fully Immunized",94.5,92664
167,"2021/2022","Kindergarten","HepB","Fully Immunized",92.3,65253
168,"2021/2022","Kindergarten","Polio","Nonmedical Exemption",3,65253
169,"2021/2022","School","Tdap","No Record",0.9,484058
170,"2022/2023","Child Care/Preschool","DTaP","Nonmedical Exemption",2.1,95552
171,"2022/2023","Kindergarten","Polio","Fully Immunized",86.8,63887
172,"2024/2025","Child Care/Preschool","DTaP","Nonmedical Exemption",2.9,94156
173,"2024/2025","School","Polio","No Record",1.7,851736
174,"2025/2026","Child Care/Preschool","Polio","Medical Exemption",0.3,97807
175,"2025/2026","Kindergarten","HepB","Medical Exemption",0.1,60049
176,"2017/2018","Child Care/Preschool","HepB","Medical Exemption",0.1,106593
177,"2017/2018","Child Care/Preschool","MMR","No Record",0.8,106593
178,"2018/2019","Child Care/Preschool","Hib","Medical Exemption",0.1,92382
179,"2018/2019","School","HepB","Incomplete Record",1.7,864485
180,"2019/2020","Child Care/Preschool","Polio","Fully Immunized",94.4,108348
181,"2019/2020","Child Care/Preschool","Varicella","Incomplete Record",0.9,108348
182,"2019/2020","School","HepB","Fully Immunized",94.9,899626
183,"2019/2020","School","Tdap","Incomplete Record",3.2,495607
184,"2020/2021","School","Varicella","In Process",0.2,867411
185,"2021/2022","School","MMR","In Process",0.1,866857
186,"2022/2023","Kindergarten","DTaP","Incomplete Record",5.5,63887
187,"2023/2024","Child Care/Preschool","MMR","Fully Immunized",93.9,90894
188,"2023/2024","School",,"Summary Compliant",92,853939
189,"2023/2024","School","Varicella","No Record",1.5,853939
190,"2024/2025","School","HepB","Fully Immunized",93.5,851736
191,"2024/2025","School","HepB","No Record",1.7,851736
192,"2025/2026","Child Care/Preschool","HepB","Incomplete Record",1.4,97807
193,"2025/2026","Child Care/Preschool","MMR","Incomplete Record",1,97807
194,"2025/2026","Child Care/Preschool","MMR","Nonmedical Exemption",3.3,97807
195,"2017/2018","School","Tdap","No Record",1.8,490361
196,"2018/2019","Kindergarten","DTaP","Fully Immunized",90.3,64179
197,"2018/2019","Kindergarten","DTaP","Medical Exemption",0.1,64179
198,"2019/2020","School","HepB","Incomplete Record",1.2,899626
199,"2020/2021","Kindergarten","HepB","Nonmedical Exemption",3.5,61888
200,"2020/2021","School","Tdap","Medical Exemption",0.1,487860
201,"2021/2022","Child Care/Preschool","Hib","Nonmedical Exemption",1.9,92664
202,"2021/2022","Child Care/Preschool","Polio","Medical Exemption",0.2,92664
203,"2021/2022","Kindergarten","MMR","No Record",1.5,65253
204,"2021/2022","Kindergarten","MMR","Nonmedical Exemption",2.9,65253
205,"2021/2022","School","Varicella","Medical Exemption",0.2,866857
206,"2022/2023","Child Care/Preschool","HepB","Fully Immunized",94.2,95552
207,"2022/2023","Child Care/Preschool","MMR","In Process",1.1,95552
208,"2022/2023","Child Care/Preschool","PCV","Medical Exemption",0.2,95552
209,"2022/2023","Kindergarten","DTaP","No Record",2.8,63887
210,"2022/2023","School","Tdap","No Record",1.6,494743
211,"2023/2024","Child Care/Preschool","Polio","Medical Exemption",0.3,90894
212,"2023/2024","Kindergarten","MMR","Nonmedical Exemption",3.9,61748
213,"2024/2025","Child Care/Preschool","HepB","Fully Immunized",93.6,94156
214,"2024/2025","School","MMR","Fully Immunized",93.3,851736
215,"2025/2026","Kindergarten","MMR","Nonmedical Exemption",4.3,60049
216,"2017/2018","Child Care/Preschool","MMR","Incomplete Record",1,106593
217,"2017/2018","School","Varicella","Nonmedical Exemption",3.2,880843
218,"2018/2019","Child Care/Preschool","DTaP","No Record",1,92382
219,"2018/2019","Kindergarten","DTaP","Incomplete Record",3.3,64179
220,"2018/2019","Kindergarten","Varicella","Medical Exemption",0.2,64179
221,"2018/2019","School","DTaP","Fully Immunized",95,864485
222,"2018/2019","School","Tdap","Fully Immunized",91,470136
223,"2019/2020","Child Care/Preschool","Hib","Incomplete Record",0.9,108348
224,"2019/2020","Kindergarten","HepB","Incomplete Record",1.5,67876
225,"2019/2020","Kindergarten","HepB","No Record",1,67876
226,"2019/2020","Kindergarten","Varicella","Fully Immunized",90.1,67876
227,"2019/2020","School","Polio","No Record",0.7,899626
228,"2021/2022","Child Care/Preschool","HepB","Medical Exemption",0.2,92664
229,"2022/2023","Child Care/Preschool","HepB","Medical Exemption",0.2,95552
230,"2022/2023","Kindergarten","Varicella","No Record",2.8,63887
231,"2022/2023","School","DTaP","Fully Immunized",93.7,870984
232,"2022/2023","School","Polio","No Record",1.5,870984
233,"2022/2023","School","Tdap","No Record",0,494743
234,"2023/2024","Child Care/Preschool","HepB","No Record",0.7,90894
235,"2023/2024","Kindergarten","Varicella","Fully Immunized",87.2,61748
236,"2023/2024","School","Polio","In Process",0.2,853939
237,"2024/2025","School",,"Summary Compliant",91.9,851736
238,"2024/2025","School","HepB","Incomplete Record",2.1,851736
239,"2025/2026","Child Care/Preschool","MMR","In Process",2.2,97807
240,"2017/2018","Child Care/Preschool","DTaP","Fully Immunized",93,106593
241,"2017/2018","Child Care/Preschool","Varicella","Incomplete Record",1.2,106593
242,"2017/2018","Kindergarten","DTaP","Medical Exemption",0.1,65718
243,"2018/2019","Child Care/Preschool","Hib","Nonmedical Exemption",2.4,92382
244,"2019/2020","Child Care/Preschool","HepB","No Record",0.7,108348
245,"2020/2021","Kindergarten","MMR","Fully Immunized",90.5,61888
246,"2020/2021","Kindergarten","MMR","Medical Exemption",0.1,61888
247,"2020/2021","School","Tdap","Incomplete Record",4.8,487860
248,"2021/2022","Child Care/Preschool","DTaP","No Record",0.8,92664
249,"2021/2022","Kindergarten","HepB","Incomplete Record",3,65253
250,"2021/2022","Kindergarten","MMR","Medical Exemption",0.1,65253
251,"2022/2023","Kindergarten","HepB","Nonmedical Exemption",3.5,63887
252,"2022/2023","School","Tdap","Fully Immunized",89.5,494743
253,"2022/2023","School","Tdap","Medical Exemption",0,494743
254,"2023/2024","School","DTaP","No Record",1.5,853939
255,"2024/2025","School","MMR","No Record",1.7,851736
256,"2017/2018","Kindergarten","Varicella","In Process",0.8,65718
257,"2018/2019","Child Care/Preschool","HepB","In Process",0.9,92382
258,"2018/2019","School","Polio","Fully Immunized",94.1,864485
259,"2018/2019","School","Tdap","Nonmedical Exemption",2.8,470136
260,"2019/2020","Child Care/Preschool","Hib","No Record",0.8,108348
261,"2020/2021","Child Care/Preschool","HepB","In Process",0.7,82985
262,"2020/2021","Kindergarten","HepB","Incomplete Record",1.8,61888
263,"2020/2021","Kindergarten","HepB","Medical Exemption",0.1,61888
264,"2020/2021","School","MMR","Incomplete Record",1.3,867411
265,"2021/2022","Child Care/Preschool","PCV","Fully Immunized",94.4,92664
266,"2021/2022","Child Care/Preschool","Varicella","Incomplete Record",1.5,92664
267,"2023/2024","Child Care/Preschool","Varicella","Incomplete Record",1.3,90894
268,"2023/2024","School","Tdap","Nonmedical Exemption",2.7,483364
269,"2024/2025","Child Care/Preschool","Hib","Incomplete Record",1.3,94156
270,"2024/2025","Child Care/Preschool","PCV","No Record",1,94156
271,"2024/2025","Child Care/Preschool","PCV","Nonmedical Exemption",2.8,94156
272,"2024/2025","School","Polio","Incomplete Record",2.4,851736
273,"2024/2025","School","Tdap","Nonmedical Exemption",2.7,484896
274,"2025/2026","Kindergarten","Polio","Fully Immunized",87.3,60049
275,"2017/2018","Child Care/Preschool","Polio","Incomplete Record",1.2,106593
276,"2018/2019","Kindergarten","MMR","No Record",1.9,64179
277,"2018/2019","School","Varicella","Medical Exemption",0.2,864485
278,"2019/2020","School",,"Summary Compliant",95,899626
279,"2020/2021","Kindergarten","Varicella","In Process",0.4,61888
280,"2021/2022","Kindergarten","DTaP","Incomplete Record",5.9,65253
281,"2021/2022","School","HepB","In Process",0.2,866857
282,"2021/2022","School","MMR","Medical Exemption",0.2,866857
283,"2022/2023","School","Tdap","Incomplete Record",0,494743
284,"2023/2024","Child Care/Preschool","DTaP","No Record",0.7,90894
285,"2023/2024","Child Care/Preschool","Hib","Nonmedical Exemption",2.5,90894
286,"2023/2024","School","DTaP","Incomplete Record",2.3,853939
287,"2023/2024","School","Polio","Nonmedical Exemption",2.6,853939
288,"2023/2024","School","Tdap","Fully Immunized",89.2,483364
289,"2024/2025","Kindergarten","Varicella","Nonmedical Exemption",4.1,60055
290,"2024/2025","School","MMR","Medical Exemption",0.2,851736
291,"2025/2026","School","Polio","Fully Immunized",93.1,849507
292,"2017/2018","Kindergarten","MMR","Fully Immunized",88.8,65718
293,"2017/2018","Kindergarten","Varicella","Medical Exemption",0.2,65718
294,"2017/2018","School","MMR","Medical Exemption",0.1,880843
295,"2018/2019","Child Care/Preschool","Hib","Fully Immunized",94.3,92382
296,"2018/2019","Kindergarten","MMR","In Process",0.5,64179
297,"2018/2019","School","HepB","No Record",0.9,864485
298,"2018/2019","School","MMR","Incomplete Record",1.7,864485
299,"2018/2019","School","Varicella","Fully Immunized",93.1,864485
300,"2019/2020","Kindergarten","HepB","Fully Immunized",92.9,67876
301,"2020/2021","Child Care/Preschool","PCV","Incomplete Record",1.4,82985
302,"2020/2021","School","Tdap","No Record",0.7,487860
303,"2021/2022","Kindergarten","Polio","Incomplete Record",6.2,65253
304,"2021/2022","Kindergarten","Varicella","Fully Immunized",87.6,65253
305,"2021/2022","School","HepB","No Record",0.9,866857
306,"2021/2022","School","Polio","No Record",0.9,866857
307,"2021/2022","School","Tdap","Incomplete Record",6.2,484058
308,"2022/2023","School","MMR","In Process",0.1,870984
309,"2023/2024","Kindergarten","HepB","Fully Immunized",91,61748
310,"2023/2024","School","Varicella","Nonmedical Exemption",2.7,853939
311,"2024/2025","Child Care/Preschool","PCV","In Process",1.2,94156
312,"2024/2025","Kindergarten","Varicella","Fully Immunized",86.8,60055
313,"2025/2026","School","Polio","Medical Exemption",0.2,849507
314,"2017/2018","Child Care/Preschool","Hib","Medical Exemption",0.1,106593
315,"2017/2018","Child Care/Preschool","Varicella","Medical Exemption",0.1,106593
316,"2018/2019","Child Care/Preschool","PCV","In Process",1,92382
317,"2018/2019","Child Care/Preschool","PCV","Medical Exemption",0.1,92382
318,"2018/2019","Kindergarten","HepB","Medical Exemption",0.1,64179
319,"2018/2019","School","Varicella","In Process",0.3,864485
320,"2020/2021","Child Care/Preschool",,"Summary Compliant",95,82985
321,"2020/2021","Kindergarten","Polio","Nonmedical Exemption",3.9,61888
322,"2020/2021","Kindergarten","Varicella","Incomplete Record",4.7,61888
