time	state	geography	geography_name	grade	N_dtap	N_polio	N_mmr	N_hep_b	N_varicella	N_personal_exempt	N_medical_exempt	N_full_exempt	pct_dtap	pct_polio	pct_mmr	pct_hep_b	pct_varicella	pct_personal_exempt	pct_medical_exempt	pct_full_exempt	pct_any_exempt
2021-09-01	Louisiana	22115	Vernon	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8552	NA	NA	0.9625	NA	NA	NA	0.0221	0.0221
2021-09-01	Louisiana	22117	Washington	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8529	NA	NA	0.9862	NA	NA	NA	0.0092	0.0092
2021-09-01	Louisiana	22119	Webster	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8067	NA	NA	0.9881	NA	NA	NA	0.0095	0.0095
2021-09-01	Louisiana	22121	West Baton Rouge	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.9458	NA	NA	0.9856	NA	NA	NA	0.0072	0.0072
2021-09-01	Louisiana	22123	West Carroll	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.5507	NA	NA	0.9855	NA	NA	NA	0	0
2021-09-01	Louisiana	22125	West Feliciana	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.9557	NA	NA	0.9873	NA	NA	NA	0.0127	0.0127
2021-09-01	Louisiana	22127	Winn	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.9597	NA	NA	0.9732	NA	NA	NA	0.0268	0.0268
2022-09-01	Louisiana	22001	Acadia	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.772	NA	NA	0.9783	NA	NA	NA	0.0205	0.0205
2022-09-01	Louisiana	22003	Allen	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.808	NA	NA	0.9732	NA	NA	NA	0.0268	0.0268
2022-09-01	Louisiana	22005	Ascension	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.9449	NA	NA	0.968	NA	NA	NA	0.0309	0.0309
2022-09-01	Louisiana	22007	Assumption	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.9158	NA	NA	0.995	NA	NA	NA	0.005	0.005
2022-09-01	Louisiana	22009	Avoyelles	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.783	NA	NA	0.9677	NA	NA	NA	0.0264	0.0264
2022-09-01	Louisiana	22011	Beauregard	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.7299	NA	NA	0.961	NA	NA	NA	0.026	0.026
2022-09-01	Louisiana	22013	Bienville	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.9697	NA	NA	0.9848	NA	NA	NA	0.0152	0.0152
2022-09-01	Louisiana	22015	Bossier	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8044	NA	NA	0.9896	NA	NA	NA	0.0043	0.0043
2022-09-01	Louisiana	22017	Caddo	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.6939	NA	NA	0.9862	NA	NA	NA	0.0071	0.0071
2022-09-01	Louisiana	22019	Calcasieu	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.7544	NA	NA	0.9732	NA	NA	NA	0.0195	0.0195
2022-09-01	Louisiana	22021	Caldwell	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.6667	NA	NA	0.9722	NA	NA	NA	0.0093	0.0093
2022-09-01	Louisiana	22023	Cameron	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.7541	NA	NA	1	NA	NA	NA	0	0
2022-09-01	Louisiana	22025	Catahoula	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8553	NA	NA	0.9868	NA	NA	NA	0.0132	0.0132
2022-09-01	Louisiana	22027	Claiborne	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.831	NA	NA	0.993	NA	NA	NA	0	0
2022-09-01	Louisiana	22029	Concordia	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8111	NA	NA	0.9815	NA	NA	NA	0.0185	0.0185
2022-09-01	Louisiana	22031	De Soto	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8042	NA	NA	0.9947	NA	NA	NA	0.0026	0.0026
2022-09-01	Louisiana	22033	East Baton Rouge	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.7161	NA	NA	0.9522	NA	NA	NA	0.0127	0.0127
2022-09-01	Louisiana	22035	East Carroll	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.75	NA	NA	1	NA	NA	NA	0	0
2022-09-01	Louisiana	22037	East Feliciana	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.7963	NA	NA	1	NA	NA	NA	0	0
2022-09-01	Louisiana	22039	Evangeline	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.7472	NA	NA	0.9955	NA	NA	NA	0.0023	0.0023
2022-09-01	Louisiana	22041	Franklin	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.5193	NA	NA	0.9957	NA	NA	NA	0	0
