,,"Percent of Students with Conscientious Exemptions Filed by County and School Year -- Texas Annual Report of Immunization Status, Seventh Grade
(Percent of Students with a Conscientious Exemption to at Least One Vaccine)",,,,,,,,,,,,,,,,,
,Caldwell,1.15%,1.97%,1.00%,1.29%,1.21%,0.80%,1.41%,2.30%,2.68%,2.45%,2.59%,,,,,,,
,Calhoun,0.33%,0.30%,0.30%,0.63%,0.41%,1.63%,0.65%,0.68%,0.39%,0.00%,0.38%,,,,,,,
,Callahan,0.58%,0.99%,2.05%,2.13%,2.02%,2.56%,1.97%,2.13%,3.30%,4.52%,1.86%,,,,,,,
,Cameron,0.18%,0.21%,0.15%,0.16%,0.14%,0.38%,0.32%,0.32%,0.36%,0.54%,0.45%,,,,,,,
,Camp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.08%,0.46%,0.61%,0.54%,0.64%,,,,,,,
,Carson,0.00%,0.00%,0.98%,0.00%,3.54%,2.20%,3.03%,0.93%,3.54%,1.15%,10.64%,,,,,,,
,Cass,0.48%,0.00%,0.73%,0.96%,0.49%,0.47%,2.37%,2.49%,3.52%,2.38%,3.08%,,,,,,,
,Castro,0.00%,0.00%,0.00%,0.82%,0.00%,1.77%,0.00%,0.85%,0.00%,0.83%,1.75%,,,,,,,
,Chambers,0.36%,0.17%,1.05%,1.73%,0.93%,1.24%,1.65%,2.73%,3.20%,3.16%,4.97%,,,,,,,
,Cherokee,0.31%,0.47%,0.68%,0.82%,0.16%,0.00%,0.94%,0.16%,0.46%,0.83%,0.88%,,,,,,,
,Childress,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.14%,0.00%,,,,,,,
,Clay,1.56%,0.00%,0.90%,0.00%,0.00%,0.00%,0.90%,0.00%,4.32%,3.10%,4.62%,,,,,,,
,Cochran,2.08%,1.61%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.51%,8.00%,,,,,,,
,Coke,0.00%,0.00%,0.00%,3.33%,5.13%,2.86%,10.34%,4.08%,0.00%,2.94%,2.70%,,,,,,,
,Coleman,0.00%,0.00%,0.00%,0.00%,1.35%,1.20%,1.92%,1.11%,1.05%,4.94%,4.12%,,,,,,,
,Collin,1.65%,1.81%,1.93%,2.20%,2.34%,2.80%,3.11%,3.04%,3.43%,4.07%,4.67%,,,,,,,
,Collingsworth,4.44%,0.00%,2.33%,0.00%,5.41%,4.76%,1.96%,6.52%,2.13%,2.17%,6.25%,,,,,,,
,Colorado,0.58%,0.56%,0.00%,0.41%,0.00%,1.52%,0.00%,1.67%,2.14%,0.37%,2.92%,,,,,,,
,Comal,1.85%,1.30%,1.42%,2.00%,1.92%,2.91%,2.14%,3.36%,4.47%,4.30%,5.97%,,,,,,,
,Comanche,2.99%,0.60%,1.23%,0.58%,0.00%,1.58%,0.00%,0.57%,1.16%,1.23%,1.20%,,,,,,,
,Concho,0.00%,2.50%,0.00%,2.04%,2.56%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,Cooke,0.39%,0.81%,0.98%,1.33%,1.09%,1.17%,1.08%,2.26%,2.45%,2.03%,5.36%,,,,,,,
,Coryell,0.35%,3.07%,0.61%,1.71%,1.41%,2.06%,1.87%,1.79%,2.00%,1.82%,2.67%,,,,,,,
,Cottle,NR**,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.69%,0.00%,,,,,,,
,Crane,1.04%,0.00%,0.00%,0.00%,1.18%,0.00%,0.00%,0.00%,0.00%,0.00%,NR**,,,,,,,
,Crockett,0.00%,0.00%,0.00%,1.69%,0.00%,1.35%,0.00%,1.41%,1.92%,0.00%,0.00%,,,,,,,
,Crosby,1.11%,0.00%,0.00%,0.00%,2.13%,1.12%,0.00%,1.11%,0.00%,2.86%,0.00%,,,,,,,
,Culberson,0.00%,NR**,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.70%,,,,,,,
,Dallam,0.00%,1.92%,2.45%,0.65%,3.50%,0.64%,0.64%,1.47%,1.96%,2.13%,1.28%,,,,,,,
,Dallas,0.51%,0.63%,0.66%,0.82%,0.87%,0.94%,1.26%,1.17%,1.28%,1.53%,2.00%,,,,,,,
,Dawson,0.52%,0.00%,0.53%,1.10%,0.00%,1.02%,2.80%,0.56%,3.09%,1.62%,0.71%,,,,,,,
,Deaf Smith,0.31%,0.31%,0.00%,0.00%,0.33%,0.00%,0.32%,0.00%,0.33%,0.00%,0.00%,,,,,,,
,Delta,0.00%,1.79%,3.03%,0.00%,3.64%,3.51%,1.61%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,Denton,4.73%,2.02%,1.72%,2.48%,4.04%,3.24%,3.00%,3.94%,4.41%,5.11%,6.16%,,,,,,,
,DeWitt,0.00%,0.00%,0.47%,0.00%,0.95%,0.88%,0.85%,0.45%,1.24%,1.57%,4.74%,,,,,,,
,Dickens,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.25%,,,,,,,
,Dimmit,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.82%,0.00%,,,,,,,
,Donley,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.25%,2.63%,2.08%,2.38%,0.00%,,,,,,,
,Duval,0.56%,0.00%,0.00%,0.00%,0.00%,0.52%,0.00%,0.00%,0.00%,0.00%,0.56%,,,,,,,
,Eastland,1.89%,2.29%,3.85%,0.46%,1.50%,0.93%,2.37%,6.15%,1.47%,2.38%,6.21%,,,,,,,
,Ector,0.44%,0.20%,0.52%,0.77%,0.36%,0.73%,0.74%,0.98%,0.99%,1.39%,1.74%,,,,,,,
,Edwards,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.27%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,Ellis,0.53%,0.57%,0.92%,0.21%,0.31%,0.31%,0.46%,0.36%,1.90%,0.51%,0.71%,,,,,,,
,El Paso,1.07%,0.87%,1.03%,1.19%,1.64%,1.84%,1.93%,2.44%,2.72%,3.67%,3.14%,,,,,,,
,Erath,0.45%,1.14%,1.38%,1.68%,1.42%,1.66%,1.48%,2.74%,1.63%,2.85%,4.53%,,,,,,,
,Falls,0.00%,0.00%,0.00%,0.60%,0.00%,0.00%,0.00%,1.24%,1.25%,1.14%,2.98%,,,,,,,
,Fannin,1.43%,0.61%,1.00%,1.00%,0.88%,1.90%,0.93%,1.35%,1.01%,3.18%,4.67%,,,,,,,
,Fayette,1.32%,1.00%,2.33%,0.68%,0.74%,0.65%,0.32%,0.34%,1.85%,1.29%,4.91%,,,,,,,
,Fisher,0.00%,NR**,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.26%,2.50%,,,,,,,
,Floyd,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,Foard,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,Fort Bend,0.45%,0.48%,0.44%,0.49%,0.66%,0.86%,0.64%,0.87%,0.96%,0.78%,1.37%,,,,,,,
,Franklin,0.00%,0.00%,0.00%,0.75%,0.00%,0.80%,1.53%,0.80%,0.92%,0.84%,5.22%,,,,,,,
,Freestone,0.00%,1.45%,0.74%,2.17%,0.40%,2.13%,1.91%,1.05%,2.12%,1.16%,1.87%,,,,,,,
,Frio,0.00%,0.00%,0.00%,0.00%,0.00%,0.45%,0.94%,1.23%,1.32%,0.00%,0.00%,,,,,,,15
,Gaines,3.64%,3.88%,2.17%,8.09%,7.69%,8.90%,10.47%,12.68%,11.03%,13.04%,13.58%,,,,,,,
,Galveston,1.30%,1.01%,1.01%,1.19%,1.41%,1.65%,1.96%,1.88%,2.07%,2.89%,3.53%,,,,,,,
,Garza,2.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.75%,1.92%,5.77%,,,,,,,
,Gillespie,2.05%,2.17%,0.75%,1.89%,2.82%,3.33%,6.42%,1.60%,3.87%,4.00%,5.26%,,,,,,,
,Glasscock,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,Goliad,0.00%,0.00%,0.90%,2.20%,0.00%,0.94%,0.85%,0.00%,0.97%,1.04%,1.14%,,,,,,,
,Gonzales,0.00%,0.00%,0.63%,0.60%,0.31%,0.87%,0.94%,0.00%,0.67%,0.72%,0.36%,,,,,,,
,Gray,0.73%,0.99%,0.31%,0.35%,0.99%,1.72%,0.34%,0.33%,1.61%,1.83%,1.22%,,,,,,,
,Grayson,0.94%,0.79%,1.25%,1.16%,1.30%,2.34%,1.94%,2.65%,3.44%,3.87%,4.63%,,,,,,,
,Gregg,0.27%,0.60%,0.57%,1.14%,1.23%,1.94%,1.20%,1.22%,1.82%,3.25%,2.71%,,,,,,,
,Grimes,0.87%,0.60%,0.61%,1.17%,1.59%,1.13%,0.88%,1.00%,1.10%,3.45%,2.39%,,,,,,,
,Guadalupe,1.07%,0.78%,0.44%,1.22%,1.35%,1.28%,0.98%,1.10%,1.60%,2.27%,2.27%,,,,,,,
,Hale,0.74%,0.36%,0.37%,0.18%,0.19%,1.26%,0.96%,0.80%,1.34%,0.37%,1.75%,,,,,,,
,Hall,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.04%,0.00%,2.13%,0.00%,2.33%,,,,,,,
,Hamilton,0.00%,1.18%,2.06%,0.99%,2.08%,1.85%,2.04%,3.60%,2.50%,3.85%,9.35%,,,,,,,
,Hansford,0.00%,4.04%,0.00%,0.85%,0.00%,1.67%,1.05%,0.98%,0.00%,1.09%,2.97%,,,,,,,
,Hardeman,0.00%,8.57%,2.44%,0.00%,0.00%,0.00%,2.17%,0.00%,0.00%,0.00%,2.38%,,,,,,,
,Hardin,0.60%,1.37%,1.27%,0.71%,2.29%,1.24%,1.48%,1.64%,2.26%,2.68%,3.05%,,,,,,,
,Harris,0.60%,0.62%,0.64%,0.90%,0.98%,1.13%,1.14%,2.39%,0.99%,1.55%,2.02%,,,,,,,
,Harrison,0.52%,0.61%,0.50%,0.96%,0.96%,1.24%,1.82%,2.93%,2.98%,4.52%,4.63%,,,,,,,
,Hartley,3.70%,0.00%,0.00%,7.41%,3.13%,0.00%,0.00%,5.41%,0.00%,9.68%,3.85%,,,,,,,
,Haskell,1.64%,1.49%,0.00%,0.00%,0.00%,0.00%,2.00%,1.43%,1.56%,0.00%,5.56%,,,,,,,
,Hays,1.68%,1.26%,2.16%,1.82%,2.41%,2.38%,2.85%,3.17%,3.20%,3.55%,5.10%,,,,,,,
,Hemphill,0.00%,0.00%,2.86%,1.47%,0.00%,2.82%,2.47%,0.00%,3.23%,3.85%,5.77%,,,,,,,
,Henderson,1.13%,0.63%,0.91%,0.94%,1.28%,1.87%,1.82%,2.17%,3.24%,3.40%,4.05%,,,,,,,
,Hidalgo,0.10%,0.09%,0.11%,0.15%,0.30%,0.32%,0.30%,0.91%,0.66%,0.88%,0.88%,,,,,,,
,Hill,0.64%,0.22%,0.66%,0.84%,0.41%,1.61%,1.76%,1.82%,2.55%,2.02%,3.31%,,,,,,,
,Hockley,0.53%,1.25%,0.00%,1.13%,0.57%,2.45%,1.86%,0.80%,1.92%,2.92%,4.37%,,,,,,,
,Hood,1.81%,1.63%,1.93%,2.71%,2.66%,3.64%,3.91%,3.21%,3.07%,4.76%,6.59%,,,,,,,
,Hopkins,0.39%,0.21%,1.69%,0.81%,1.91%,1.20%,1.89%,2.69%,1.73%,1.53%,4.03%,,,,,,,
,Houston,0.00%,0.00%,1.30%,2.44%,1.74%,2.44%,1.85%,2.14%,2.55%,2.09%,2.14%,,,,,,,
,Howard,1.13%,0.85%,0.22%,0.90%,0.23%,1.69%,1.21%,0.90%,1.41%,0.75%,4.55%,,,,,,,
,Hudspeth,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.08%,2.38%,,,,,,,
,Hunt,0.98%,0.98%,1.00%,0.46%,0.92%,0.71%,1.29%,1.59%,1.15%,2.22%,3.07%,,,,,,,
,Hutchinson,1.74%,1.04%,1.26%,0.48%,1.92%,1.62%,2.72%,2.05%,3.28%,3.15%,3.78%,,,,,,,
,Irion,0.00%,0.00%,0.00%,0.00%,4.76%,6.25%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,Jack,0.00%,0.00%,1.64%,0.87%,0.85%,1.49%,4.83%,1.54%,0.74%,1.04%,3.57%,,,,,,,
,Jackson,0.75%,1.44%,0.00%,0.40%,0.36%,0.00%,0.00%,1.42%,1.63%,0.71%,2.11%,,,,,,,
,Jasper,1.07%,1.14%,0.82%,2.01%,2.37%,1.54%,2.96%,2.01%,2.62%,4.79%,25.00%,,,,,,,
,Jeff Davis,12.50%,4.17%,0.00%,0.00%,9.52%,0.00%,0.00%,0.00%,0.00%,4.55%,0.00%,,,,,,,
,Jefferson,0.70%,0.46%,0.81%,0.47%,0.67%,1.06%,0.86%,1.41%,1.34%,2.24%,1.91%,,,,,,,
,Jim Hogg,0.00%,0.00%,1.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,Jim Wells,0.00%,0.17%,0.34%,0.17%,0.63%,0.46%,0.30%,1.20%,0.74%,0.54%,2.38%,,,,,,,
,Johnson,1.32%,1.04%,1.26%,2.05%,1.71%,2.10%,2.60%,3.48%,2.99%,3.81%,5.88%,,,,,,,
,Jones,0.00%,0.51%,0.51%,0.00%,1.29%,0.00%,0.91%,0.60%,1.51%,2.82%,5.33%,,,,,,,
,Karnes,1.55%,0.51%,1.06%,2.54%,0.00%,0.00%,0.00%,0.00%,0.56%,4.82%,2.00%,,,,,,,
,Kaufman,0.62%,0.57%,0.67%,1.25%,1.06%,1.07%,1.80%,1.97%,2.24%,2.38%,2.76%,,,,,,,
,Kendall,3.35%,2.93%,2.50%,3.58%,2.42%,3.72%,4.47%,4.70%,4.74%,7.93%,6.75%,,,,,,,
,Kenedy,NR**,NR**,NR**,NR**,NR**,NR**,NR**,NR**,NR**,NR**,NR**,,,,,,,
,Kent,0.00%,0.00%,20.00%,0.00%,NR**,NR**,0.00%,6.67%,0.00%,9.09%,10.53%,,,,,,,
,Kerr,0.20%,2.10%,0.87%,1.89%,2.29%,4.08%,4.42%,3.66%,3.98%,4.24%,7.03%,,,,,,,
,Kimble,0.00%,0.00%,0.00%,0.00%,1.92%,2.94%,5.36%,4.35%,4.00%,2.56%,8.82%,,,,,,,
,King,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10.00%,16.67%,8.33%,,,,,,,
,Kinney,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.50%,0.00%,2.86%,,,,,,,
,Kleberg,0.53%,0.00%,0.29%,0.26%,1.42%,0.54%,1.14%,0.54%,0.53%,1.18%,0.40%,,,,,,,
,Knox,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.54%,0.00%,0.00%,0.00%,2.08%,,,,,,,
,La Salle,0.00%,NR**,1.05%,0.00%,0.00%,0.00%,0.00%,0.00%,1.94%,1.06%,0.00%,,,,,,,
,Lamar,0.35%,0.00%,0.65%,0.98%,1.50%,0.95%,1.47%,2.16%,2.31%,3.91%,3.69%,,,,,,,
,Lamb,0.00%,0.00%,0.88%,0.00%,0.48%,0.00%,0.49%,1.41%,0.45%,1.78%,0.55%,,,,,,,
,Lampasas,0.00%,1.54%,0.70%,1.84%,2.55%,1.10%,2.16%,5.54%,3.77%,2.47%,4.75%,,,,,,,
,Lavaca,0.37%,0.36%,0.58%,0.61%,1.16%,0.28%,1.04%,1.41%,2.54%,2.61%,1.82%,,,,,,,
,Lee,1.37%,0.44%,0.76%,1.15%,0.00%,0.75%,1.09%,3.64%,1.70%,3.07%,3.95%,,,,,,,
,Leon,0.39%,0.00%,1.46%,0.86%,0.80%,1.67%,0.47%,0.86%,0.00%,2.24%,0.89%,,,,,,,
,Liberty,0.26%,0.36%,0.54%,0.81%,1.25%,0.59%,1.10%,0.95%,0.95%,1.66%,1.10%,,,,,,,
,Limestone,0.59%,0.35%,0.00%,0.77%,0.66%,0.00%,0.00%,1.02%,0.33%,1.05%,0.83%,,,,,,,
,Lipscomb,3.70%,0.00%,0.00%,0.00%,0.00%,0.00%,1.89%,0.00%,0.00%,5.17%,0.00%,,,,,,,
,Live Oak,0.00%,0.00%,0.00%,0.83%,0.72%,0.84%,0.84%,2.19%,2.40%,0.00%,0.81%,,,,,,,
,Llano,0.67%,2.70%,1.61%,1.46%,0.72%,2.19%,2.80%,3.60%,2.03%,1.41%,2.05%,,,,,,,
,Loving,NR**,NR**,NR**,NR**,NR**,NR**,NR**,NR**,NR**,NR**,NR**,,,,,,,
,Lubbock,1.15%,0.98%,1.05%,1.41%,1.29%,1.48%,1.37%,1.80%,2.25%,2.23%,2.90%,,,,,,,
,Lynn,1.12%,2.35%,0.00%,0.00%,0.89%,1.82%,0.62%,0.00%,6.02%,0.00%,4.50%,,,,,,,
,McCulloch,0.53%,0.00%,0.54%,2.26%,1.03%,0.98%,0.51%,0.52%,0.96%,1.45%,2.55%,,,,,,,
,McLennan,0.00%,1.18%,0.00%,0.00%,2.04%,2.41%,1.92%,3.92%,1.10%,4.12%,6.10%,,,,,,,
,McMullen,1.10%,0.00%,0.00%,0.00%,0.97%,0.00%,0.93%,1.89%,1.79%,2.97%,3.09%,,,,,,,
,Madison,0.00%,2.50%,2.17%,2.04%,5.00%,1.85%,0.00%,0.00%,5.45%,7.14%,2.13%,,,,,,,
,Marion,0.54%,0.20%,0.91%,1.03%,1.68%,1.53%,1.08%,1.05%,1.81%,1.92%,1.78%,,,,,,,
,Martin,0.00%,0.00%,0.00%,0.00%,0.18%,0.18%,0.44%,0.09%,0.00%,0.00%,0.51%,,,,,,,
,Mason,1.90%,0.00%,0.00%,0.00%,0.00%,0.98%,0.93%,0.00%,3.61%,2.22%,8.75%,,,,,,,
,Matagorda,0.56%,0.72%,0.36%,0.69%,0.80%,0.83%,1.53%,1.41%,1.62%,2.09%,2.95%,,,,,,,
,Maverick,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,NR**,4.35%,0.00%,0.00%,4.76%,,,,,,,
,Medina,0.41%,0.28%,0.39%,0.38%,0.77%,0.22%,0.24%,0.58%,1.04%,0.42%,1.22%,,,,,,,
,Menard,0.00%,NR**,0.00%,4.35%,0.00%,3.45%,0.00%,0.00%,0.00%,0.00%,7.14%,,,,,,,
,Midland,0.69%,0.74%,0.88%,0.78%,1.12%,1.48%,1.25%,1.16%,1.77%,1.67%,2.92%,,,,,,,
,Milam,0.00%,0.45%,0.52%,0.81%,0.28%,1.26%,1.10%,1.14%,2.03%,2.40%,2.52%,,,,,,,
,Mills,0.00%,0.00%,6.25%,1.61%,4.62%,0.00%,3.08%,7.69%,0.00%,7.55%,2.22%,,,,,,,
,Mitchell,2.20%,1.11%,0.00%,0.00%,1.18%,0.00%,0.00%,0.00%,0.00%,0.00%,1.30%,,,,,,,
,Montague,0.81%,0.42%,1.75%,0.80%,2.22%,2.32%,2.29%,7.03%,4.32%,3.94%,7.73%,,,,,,,
,Montgomery,0.89%,2.44%,2.08%,2.16%,2.08%,2.21%,2.54%,2.64%,2.50%,3.66%,4.28%,,,,,,,
,Moore,0.27%,0.00%,0.00%,0.00%,0.27%,0.58%,0.25%,2.00%,0.26%,0.28%,1.11%,,,,,,,
,Morris,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.62%,0.00%,2.80%,0.00%,,,,,,,
,Motley,0.00%,NR**,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.33%,,,,,,,
,Nacogdoches,0.75%,0.56%,1.82%,1.44%,0.69%,2.00%,1.05%,2.20%,1.63%,1.50%,2.35%,,,,,,,
,Navarro,0.00%,0.57%,0.53%,0.26%,0.27%,0.53%,0.24%,0.76%,0.50%,1.62%,1.76%,,,,,,,
,Newton,1.70%,0.00%,3.85%,0.74%,6.15%,2.31%,3.23%,0.79%,4.08%,3.36%,2.76%,,,,,,,
,Nolan,0.00%,0.00%,1.29%,0.43%,0.38%,0.84%,1.22%,1.26%,0.00%,1.69%,3.24%,,,,,,,
,Nueces,0.33%,0.51%,0.53%,0.74%,0.87%,1.02%,0.89%,0.91%,1.35%,1.20%,1.96%,,,,,,,
,Ochiltree,0.00%,0.61%,0.00%,0.53%,1.13%,1.11%,0.00%,1.13%,0.68%,1.46%,3.42%,,,,,,,
,Oldham,1.32%,0.00%,1.18%,1.45%,2.53%,2.50%,3.75%,6.49%,2.90%,3.08%,5.88%,,,,,,,
,Orange,0.43%,1.00%,0.70%,0.93%,1.10%,1.63%,2.62%,2.07%,3.53%,3.83%,5.95%,,,,,,,
,Palo Pinto,1.06%,1.19%,0.93%,1.59%,1.20%,1.34%,1.63%,0.58%,2.29%,2.31%,2.55%,,,,,,,
,Panola,0.00%,0.00%,0.35%,0.00%,0.70%,0.77%,0.65%,0.75%,2.51%,4.51%,6.01%,,,,,,,
,Parker,0.88%,2.32%,1.08%,1.65%,1.85%,2.31%,3.08%,2.83%,4.52%,4.38%,5.93%,,,,,,,
,Parmer,0.55%,0.56%,0.00%,0.00%,0.74%,1.75%,1.27%,2.35%,0.00%,1.80%,0.63%,,,,,,,
,Pecos,0.42%,0.00%,0.52%,0.82%,0.90%,0.47%,0.37%,0.40%,0.41%,1.04%,4.99%,,,,,,,
,Polk,0.39%,0.40%,0.39%,0.63%,0.54%,0.71%,0.98%,0.77%,2.33%,1.49%,3.12%,,,,,,,
,Potter,1.11%,0.78%,0.96%,1.23%,1.32%,1.47%,1.91%,2.22%,1.64%,2.23%,2.83%,,,,,,,
,Presidio,0.00%,0.83%,0.00%,0.00%,0.78%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,Rains,0.00%,0.00%,3.94%,2.46%,NR**,1.65%,4.31%,1.32%,1.45%,2.76%,8.33%,,,,,,,
,Randall,1.40%,1.70%,2.06%,2.16%,2.00%,1.78%,1.99%,2.30%,2.59%,3.08%,4.47%,,,,,,,
,Reagan,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,Real,2.08%,0.00%,0.00%,0.00%,0.00%,0.00%,2.44%,0.00%,0.00%,5.88%,NR**,,,,,,,
,Red River,1.74%,0.61%,0.67%,1.36%,3.13%,0.97%,1.35%,0.86%,0.58%,0.66%,0.62%,,,,,,,
,Reeves,0.54%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.98%,1.24%,1.38%,3.23%,,,,,,,
,Refugio,1.54%,1.92%,0.00%,0.00%,0.00%,0.00%,2.75%,2.54%,0.00%,0.00%,3.33%,,,,,,,
,Roberts,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,12.50%,0.00%,,,,,,,
,Robertson,0.00%,0.56%,0.00%,0.00%,0.00%,0.40%,0.40%,0.00%,2.00%,0.85%,4.18%,,,,,,,
,Rockwall,2.29%,1.46%,1.35%,2.08%,1.72%,2.91%,2.43%,3.26%,3.48%,4.75%,6.24%,,,,,,,
,Runnels,1.50%,0.59%,0.68%,3.31%,1.21%,0.00%,0.56%,0.00%,0.67%,1.14%,3.47%,,,,,,,
,Rusk,0.32%,0.35%,0.81%,0.50%,0.78%,1.98%,1.02%,0.33%,1.96%,1.80%,3.63%,,,,,,,
