"Census","County","State","TotalPop4_18yrs","TotalExempt4_18yrs"
"Census Tract 135.08"," Orange County"," Florida",351,"6"
"Census Tract 135.10"," Orange County"," Florida",234,"19"
"Census Tract 135.09"," Orange County"," Florida",92,"9"
"Census Tract 149.08"," Orange County"," Florida",1333,"60"
"Census Tract 149.09"," Orange County"," Florida",594,"30"
"Census Tract 165.10"," Orange County"," Florida",305,"<5"
"Census Tract 165.11"," Orange County"," Florida",565,"25"
"Census Tract 167.23"," Orange County"," Florida",938,"38"
"Census Tract 170.12"," Orange County"," Florida",582,"23"
"Census Tract 170.13"," Orange County"," Florida",1585,"49"
"Census Tract 170.14"," Orange County"," Florida",2544,"103"
"Census Tract 170.15"," Orange County"," Florida",1717,"55"
"Census Tract 170.16"," Orange County"," Florida",1599,"84"
"Census Tract 170.17"," Orange County"," Florida",769,"59"
"Census Tract 171.08"," Orange County"," Florida",1529,"92"
"Census Tract 171.09"," Orange County"," Florida",1259,"47"
"Census Tract 124.01"," Orange County"," Florida",2044,"85"
"Census Tract 124.02"," Orange County"," Florida",949,"62"
"Census Tract 120"," Orange County"," Florida",1457,"63"
"Census Tract 166.02"," Orange County"," Florida",2015,"106"
"Census Tract 149.04"," Orange County"," Florida",1152,"33"
"Census Tract 147.02"," Orange County"," Florida",890,"60"
"Census Tract 147.03"," Orange County"," Florida",380,"25"
"Census Tract 148.11"," Orange County"," Florida",1076,"48"
"Census Tract 148.12"," Orange County"," Florida",905,"42"
"Census Tract 146.07"," Orange County"," Florida",538,"29"
"Census Tract 169.03"," Orange County"," Florida",3135,"81"
"Census Tract 157.01"," Orange County"," Florida",348,"25"
"Census Tract 117.01"," Orange County"," Florida",1027,"32"
"Census Tract 158.01"," Orange County"," Florida",374,"11"
"Census Tract 169.02"," Orange County"," Florida",1097,"19"
"Census Tract 170.04"," Orange County"," Florida",472,"26"
"Census Tract 144"," Orange County"," Florida",360,"20"
"Census Tract 145.02"," Orange County"," Florida",1114,"29"
"Census Tract 166.01"," Orange County"," Florida",2262,"117"
"Census Tract 113"," Orange County"," Florida",807,"44"
"Census Tract 179.02"," Orange County"," Florida",1002,"54"
"Census Tract 146.01"," Orange County"," Florida",2155,"47"
"Census Tract 171.03"," Orange County"," Florida",2158,"355"
"Census Tract 151.03"," Orange County"," Florida",1049,"71"
"Census Tract 178.04"," Orange County"," Florida",2141,"96"
"Census Tract 167.04"," Orange County"," Florida",3391,"374"
"Census Tract 153"," Orange County"," Florida",462,"34"
"Census Tract 148.09"," Orange County"," Florida",669,"22"
"Census Tract 148.07"," Orange County"," Florida",1188,"79"
"Census Tract 174"," Orange County"," Florida",2415,"94"
"Census Tract 178.08"," Orange County"," Florida",577,"38"
"Census Tract 123.03"," Orange County"," Florida",1605,"51"
"Census Tract 123.04"," Orange County"," Florida",1748,"33"
"Census Tract 122.01"," Orange County"," Florida",1132,"40"
"Census Tract 150.01"," Orange County"," Florida",399,"8"
"Census Tract 178.07"," Orange County"," Florida",808,"36"
"Census Tract 163.01"," Orange County"," Florida",725,"42"
"Census Tract 165.07"," Orange County"," Florida",2900,"51"
"Census Tract 126"," Orange County"," Florida",788,"46"
"Census Tract 177.02"," Orange County"," Florida",498,"11"
"Census Tract 177.01"," Orange County"," Florida",1259,"57"
"Census Tract 178.02"," Orange County"," Florida",2903,"189"
"Census Tract 125"," Orange County"," Florida",271,"8"
"Census Tract 175.01"," Orange County"," Florida",2044,"125"
"Census Tract 173"," Orange County"," Florida",2064,"94"
"Census Tract 172"," Orange County"," Florida",661,"51"
"Census Tract 171.07"," Orange County"," Florida",1840,"99"
"Census Tract 151.04"," Orange County"," Florida",956,"66"
"Census Tract 136.05"," Orange County"," Florida",710,"19"
"Census Tract 138.02"," Orange County"," Florida",431,"19"
"Census Tract 133"," Orange County"," Florida",1063,"62"
"Census Tract 136.03"," Orange County"," Florida",655,"28"
"Census Tract 164.09"," Orange County"," Florida",650,"25"
"Census Tract 134.03"," Orange County"," Florida",727,"16"
"Census Tract 167.12"," Orange County"," Florida",1640,"84"
"Census Tract 164.11"," Orange County"," Florida",535,"18"
"Census Tract 164.12"," Orange County"," Florida",811,"29"
"Census Tract 167.13"," Orange County"," Florida",1631,"52"
"Census Tract 165.05"," Orange County"," Florida",425,"11"
"Census Tract 167.09"," Orange County"," Florida",1468,"29"
"Census Tract 132.01"," Orange County"," Florida",834,"37"
"Census Tract 135.11"," Orange County"," Florida",814,"22"
"Census Tract 136.06"," Orange County"," Florida",967,"20"
"Census Tract 137.02"," Orange County"," Florida",762,"43"
"Census Tract 145.03"," Orange County"," Florida",730,"13"
"Census Tract 169.07"," Orange County"," Florida",1392,"32"
"Census Tract 179.01"," Orange County"," Florida",683,"39"
"Census Tract 180"," Orange County"," Florida",575,"32"
"Census Tract 181"," Orange County"," Florida",656,"25"
"Census Tract 183"," Orange County"," Florida",508,"25"
"Census Tract 184"," Orange County"," Florida",258,"18"
"Census Tract 185"," Orange County"," Florida",549,"19"
"Census Tract 135.12"," Orange County"," Florida",1199,"45"
"Census Tract 145.04"," Orange County"," Florida",587,"49"
"Census Tract 146.08"," Orange County"," Florida",905,"30"
"Census Tract 146.09"," Orange County"," Florida",872,"36"
"Census Tract 165.03"," Orange County"," Florida",891,"47"
"Census Tract 138.03"," Orange County"," Florida",495,"20"
"Census Tract 164.02"," Orange County"," Florida",404,"20"
"Census Tract 148.04"," Orange County"," Florida",1132,"50"
"Census Tract 123.07"," Orange County"," Florida",1516,"51"
"Census Tract 148.06"," Orange County"," Florida",1014,"28"
"Census Tract 165.09"," Orange County"," Florida",585,"9"
"Census Tract 148.10"," Orange County"," Florida",1301,"50"
"Census Tract 140"," Orange County"," Florida",1156,"56"
"Census Tract 168.02"," Orange County"," Florida",1304,"199"
"Census Tract 128"," Orange County"," Florida",659,"36"
"Census Tract 142"," Orange County"," Florida",2268,"48"
"Census Tract 168.03"," Orange County"," Florida",630,"15"
"Census Tract 151.06"," Orange County"," Florida",1879,"64"
"Census Tract 167.15"," Orange County"," Florida",1316,"31"
"Census Tract 148.05"," Orange County"," Florida",1200,"37"
"Census Tract 123.05"," Orange County"," Florida",1671,"59"
"Census Tract 141"," Orange County"," Florida",988,"51"
"Census Tract 123.06"," Orange County"," Florida",848,"27"
"Census Tract 187"," Orange County"," Florida",1376,"44"
"Census Tract 167.24"," Orange County"," Florida",1172,"56"
"Census Tract 167.28"," Orange County"," Florida",950,"26"
"Census Tract 167.27"," Orange County"," Florida",1417,"64"
"Census Tract 167.29"," Orange County"," Florida",3833,"150"
"Census Tract 167.30"," Orange County"," Florida",7132,"305"
"Census Tract 167.31"," Orange County"," Florida",843,"30"
"Census Tract 167.32"," Orange County"," Florida",3125,"171"
"Census Tract 168.06"," Orange County"," Florida",3148,"178"
"Census Tract 168.07"," Orange County"," Florida",4325,"182"
"Census Tract 169.06"," Orange County"," Florida",725,"34"
"Census Tract 134.05"," Orange County"," Florida",460,"17"
"Census Tract 136.07"," Orange County"," Florida",1065,"39"
"Census Tract 167.33"," Orange County"," Florida",1013,"24"
"Census Tract 167.34"," Orange County"," Florida",2693,"106"
"Census Tract 9900"," Orange County"," Florida",0,"0"
