,,"Percent of Students with Conscientious Exemptions Filed by County and School Year -- Texas Annual Report of Immunization Status, Kindergarten through 12th Grade
(Percent of Students with a Conscientious Exemption to at Least One Vaccine)",,,,,,,,,,,,,,,,,
State,County,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,,,,,,,
,Ector,0.46%,0.47%,0.52%,0.64%,0.59%,0.76%,0.82%,0.87%,0.62%,0.83%,0.90%,,,,,,,
,Edwards,0.19%,0.19%,0.00%,0.38%,0.35%,0.55%,2.50%,2.76%,1.46%,2.04%,2.31%,,,,,,,
,Ellis,0.22%,0.21%,0.24%,0.23%,0.30%,0.36%,0.39%,0.25%,0.78%,0.43%,0.55%,,,,,,,
,El Paso,0.79%,0.97%,0.99%,1.21%,1.48%,1.69%,1.85%,2.73%,2.14%,3.19%,3.24%,,,,,,,
,Erath,0.45%,0.75%,1.32%,0.91%,1.08%,1.28%,1.75%,1.65%,1.90%,2.40%,3.25%,,,,,,,
,Falls,0.00%,0.14%,0.23%,0.43%,0.14%,0.14%,0.18%,0.51%,0.59%,1.16%,1.28%,,,,,,,
,Fannin,0.86%,0.93%,0.91%,1.07%,1.14%,1.19%,1.35%,1.32%,1.57%,2.46%,3.29%,,,,,,,
,Fayette,0.94%,1.05%,0.92%,0.89%,0.49%,1.06%,1.17%,1.02%,1.21%,1.69%,2.11%,,,,,,,
,Fisher,1.94%,NR**,0.57%,0.59%,0.99%,0.54%,0.19%,0.00%,0.56%,0.89%,1.23%,,,,,,,
,Floyd,0.09%,0.00%,0.16%,0.17%,0.23%,0.18%,0.36%,0.70%,0.27%,0.40%,1.37%,,,,,,,
,Foard,0.00%,0.00%,0.00%,0.44%,0.00%,0.00%,0.00%,0.00%,0.00%,0.56%,1.04%,,,,,,,
,Fort Bend,0.57%,0.50%,0.45%,0.54%,0.58%,0.69%,0.76%,0.71%,0.79%,0.70%,0.81%,,,,,,,
,Franklin,0.38%,0.50%,0.75%,0.83%,0.64%,0.57%,0.53%,0.70%,0.82%,0.79%,2.15%,,,,,,,
,Freestone,0.70%,0.87%,0.76%,0.86%,0.99%,1.33%,1.54%,1.47%,1.51%,2.18%,2.93%,,,,,,,
,Frio,0.10%,0.19%,0.06%,0.03%,0.16%,0.17%,0.27%,0.42%,0.52%,0.55%,0.63%,,,,,,,15
,Gaines,4.32%,4.35%,4.83%,6.26%,8.78%,10.37%,11.68%,10.94%,11.77%,8.95%,13.60%,,,,,,,
,Galveston,0.91%,1.07%,0.99%,1.19%,1.26%,1.41%,1.55%,1.51%,1.90%,2.34%,2.36%,,,,,,,
,Garza,0.59%,0.30%,0.60%,0.60%,0.42%,0.77%,1.04%,1.07%,1.93%,2.43%,2.43%,,,,,,,
,Gillespie,1.75%,1.64%,1.77%,2.04%,2.92%,3.87%,4.03%,19.32%,3.53%,4.87%,4.82%,,,,,,,
,Glasscock,0.00%,0.34%,0.00%,0.00%,1.68%,0.34%,0.70%,1.43%,2.19%,1.75%,2.18%,,,,,,,
,Goliad,0.38%,0.49%,0.46%,0.71%,0.45%,0.63%,0.88%,1.07%,1.71%,1.44%,1.64%,,,,,,,
,Gonzales,0.26%,0.20%,0.22%,0.15%,0.20%,0.35%,0.51%,0.51%,0.67%,0.61%,1.25%,,,,,,,
,Gray,0.28%,0.28%,0.12%,0.30%,0.18%,0.59%,0.61%,0.80%,0.94%,0.66%,1.28%,,,,,,,
,Grayson,0.85%,0.95%,0.97%,1.17%,1.46%,1.68%,2.01%,2.11%,2.39%,3.08%,3.35%,,,,,,,
,Gregg,0.61%,0.63%,0.95%,0.87%,1.11%,1.32%,1.28%,1.40%,1.42%,2.25%,2.55%,,,,,,,
,Grimes,0.48%,0.57%,0.61%,0.85%,0.95%,1.06%,1.37%,1.35%,1.88%,2.30%,2.20%,,,,,,,
,Guadalupe,0.73%,0.55%,0.68%,0.63%,0.87%,1.04%,1.04%,0.81%,0.90%,1.41%,1.88%,,,,,,,
,Hale,0.29%,0.28%,0.17%,0.40%,0.45%,0.67%,0.69%,0.73%,0.81%,0.82%,1.05%,,,,,,,
,Hall,0.00%,0.21%,0.16%,0.61%,0.31%,0.31%,0.67%,0.85%,0.87%,1.62%,1.87%,,,,,,,
,Hamilton,1.05%,1.12%,0.87%,0.69%,0.96%,1.93%,1.63%,1.77%,2.75%,3.40%,4.43%,,,,,,,
,Hansford,0.97%,1.19%,1.33%,1.11%,1.03%,1.32%,1.14%,0.70%,1.03%,1.59%,1.69%,,,,,,,
,Hardeman,0.86%,1.37%,1.68%,2.84%,0.00%,1.40%,2.22%,1.17%,1.02%,1.93%,1.07%,,,,,,,
,Hardin,0.63%,0.48%,0.84%,0.96%,1.02%,1.50%,1.65%,1.54%,2.17%,2.52%,3.04%,,,,,,,
,Harris,0.57%,0.59%,0.62%,0.72%,0.83%,0.90%,0.93%,0.90%,1.15%,1.42%,1.65%,,,,,,,
,Harrison,0.49%,0.66%,0.49%,0.62%,0.78%,0.99%,0.86%,0.85%,0.85%,1.10%,1.27%,,,,,,,
,Hartley,1.50%,1.10%,2.24%,4.06%,2.69%,2.31%,2.78%,1.81%,1.07%,2.93%,3.11%,,,,,,,
,Haskell,0.25%,0.24%,0.40%,0.37%,0.65%,0.50%,0.75%,0.55%,0.69%,1.84%,2.31%,,,,,,,
,Hays,1.57%,1.75%,1.96%,2.20%,2.09%,2.04%,2.51%,2.42%,2.54%,2.80%,3.16%,,,,,,,
,Hemphill,0.62%,0.86%,1.03%,0.63%,1.35%,1.31%,1.91%,1.94%,1.65%,2.17%,2.64%,,,,,,,
,Henderson,0.66%,0.71%,0.84%,1.10%,1.30%,1.48%,1.65%,1.80%,2.11%,2.53%,2.92%,,,,,,,
,Hidalgo,0.10%,0.05%,0.10%,0.14%,0.19%,0.24%,0.30%,0.32%,0.63%,0.63%,0.64%,,,,,,,
,Hill,0.48%,0.47%,0.54%,0.66%,0.75%,0.94%,1.05%,1.14%,1.21%,2.13%,1.86%,,,,,,,
,Hockley,0.56%,0.47%,0.59%,0.88%,0.58%,1.00%,1.08%,1.04%,1.50%,2.30%,2.75%,,,,,,,
,Hood,0.80%,1.13%,1.73%,2.19%,2.07%,2.57%,2.61%,2.61%,3.10%,3.41%,4.84%,,,,,,,
,Hopkins,0.59%,0.56%,0.77%,0.94%,1.02%,0.88%,1.17%,1.57%,1.65%,2.01%,2.44%,,,,,,,
,Houston,0.17%,0.15%,0.57%,0.77%,1.07%,1.34%,1.32%,21.10%,2.82%,1.76%,2.11%,,,,,,,
,Howard,0.59%,0.75%,0.71%,0.90%,0.86%,0.80%,0.96%,1.01%,1.12%,1.30%,1.61%,,,,,,,
,Hudspeth,0.00%,0.00%,0.00%,0.78%,0.18%,0.20%,0.18%,0.00%,0.00%,1.25%,0.71%,,,,,,,
,Hunt,0.72%,0.80%,0.77%,0.82%,0.98%,0.96%,1.11%,1.21%,1.54%,2.15%,2.43%,,,,,,,
,Hutchinson,0.67%,0.81%,0.89%,0.77%,1.29%,1.58%,1.69%,2.33%,2.74%,2.48%,1.62%,,,,,,,
,Irion,1.24%,1.80%,0.62%,0.77%,1.08%,1.12%,0.68%,0.00%,0.68%,1.99%,1.30%,,,,,,,
,Jack,0.26%,0.39%,0.78%,1.05%,0.95%,1.27%,2.58%,1.66%,0.55%,1.75%,1.96%,,,,,,,
,Jackson,0.41%,0.51%,0.55%,0.76%,0.60%,0.57%,0.49%,0.74%,0.69%,0.73%,0.92%,,,,,,,
,Jasper,0.47%,0.52%,0.64%,1.02%,1.38%,1.74%,2.05%,1.53%,2.71%,2.75%,3.82%,,,,,,,
,Jeff Davis,3.07%,2.03%,0.30%,0.31%,3.19%,1.97%,2.77%,1.34%,0.00%,3.08%,0.45%,,,,,,,
,Jefferson,0.37%,0.41%,0.53%,0.49%,0.66%,0.79%,0.84%,0.87%,0.99%,1.49%,1.78%,,,,,,,
,Jim Hogg,0.29%,0.18%,0.09%,0.00%,0.09%,0.09%,0.27%,0.28%,0.19%,0.10%,0.20%,,,,,,,
,Jim Wells,0.07%,0.12%,0.16%,0.21%,0.20%,0.33%,0.54%,0.64%,0.87%,1.10%,0.94%,,,,,,,
,Johnson,0.89%,0.95%,1.26%,1.55%,1.76%,2.11%,2.28%,2.46%,2.70%,3.25%,3.74%,,,,,,,
,Jones,0.22%,0.43%,0.59%,0.66%,0.50%,0.63%,0.74%,0.65%,1.56%,1.87%,2.15%,,,,,,,
,Karnes,0.47%,0.58%,0.38%,0.46%,0.49%,0.35%,0.12%,0.39%,0.34%,2.81%,1.08%,,,,,,,
,Kaufman,0.49%,0.63%,0.67%,0.85%,0.98%,1.15%,1.59%,1.39%,1.91%,2.08%,2.49%,,,,,,,
,Kendall,2.41%,2.97%,2.50%,2.95%,3.04%,3.34%,3.60%,3.62%,4.31%,5.04%,5.61%,,,,,,,
,Kenedy,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.85%,1.27%,,,,,,,
,Kent,1.56%,2.65%,2.65%,0.00%,NR**,NR**,1.16%,1.86%,1.82%,1.86%,4.14%,,,,,,,
,Kerr,1.33%,1.44%,1.58%,1.70%,1.95%,2.56%,2.96%,2.49%,2.84%,3.48%,3.52%,,,,,,,
,Kimble,0.16%,0.48%,0.00%,0.00%,0.87%,1.77%,2.18%,3.22%,3.13%,2.59%,4.14%,,,,,,,
,King,0.00%,0.89%,0.87%,2.80%,NR**,7.77%,9.90%,7.02%,8.21%,7.69%,8.60%,,,,,,,
,Kinney,0.00%,0.62%,0.00%,0.00%,0.00%,0.18%,0.35%,0.39%,0.75%,1.36%,1.79%,,,,,,,
,Kleberg,0.62%,0.69%,0.44%,0.47%,0.64%,0.67%,0.70%,0.80%,0.66%,0.76%,1.03%,,,,,,,
,Knox,0.51%,0.25%,0.24%,0.28%,0.27%,0.13%,0.14%,0.53%,0.45%,0.59%,0.58%,,,,,,,
,La Salle,0.22%,NR**,0.31%,0.31%,0.15%,0.08%,0.08%,0.50%,0.87%,1.01%,0.37%,,,,,,,
,Lamar,0.30%,0.43%,0.75%,0.90%,1.11%,1.43%,1.62%,1.34%,1.42%,2.34%,2.29%,,,,,,,
,Lamb,0.00%,0.05%,0.07%,0.19%,0.35%,0.40%,0.37%,0.67%,0.73%,1.20%,1.32%,,,,,,,
,Lampasas,5.02%,1.19%,1.46%,1.74%,2.02%,2.45%,2.36%,2.54%,2.81%,3.22%,3.63%,,,,,,,
,Lavaca,0.27%,0.38%,0.47%,0.52%,0.55%,0.80%,0.93%,1.18%,1.63%,1.93%,2.24%,,,,,,,
,Lee,0.57%,0.61%,0.76%,0.65%,0.81%,1.06%,0.63%,0.97%,1.30%,1.58%,2.20%,,,,,,,
,Leon,0.37%,0.26%,0.26%,0.78%,0.90%,0.51%,1.14%,1.10%,0.93%,1.72%,1.68%,,,,,,,
