,,"Percent of Students with Conscientious Exemptions Filed by County and School Year -- Texas Annual Report of Immunization Status, Kindergarten
(Percent of Students with a Conscientious Exemption to at Least One Vaccine)",,,,,,,,,,,,,,,,,
State,County,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,,,,,,,
,Duval,0.00%,0.00%,0.00%,0.00%,0.53%,0.00%,1.26%,0.68%,2.42%,1.33%,1.56%,,,,,,,
,Eastland,2.24%,0.87%,2.80%,2.99%,5.56%,4.93%,2.51%,3.00%,3.94%,2.79%,3.28%,,,,,,,
,Ector,0.86%,0.90%,1.15%,1.06%,0.82%,1.32%,1.12%,1.27%,2.07%,2.23%,2.18%,,,,,,,
,Edwards,0.00%,0.00%,0.00%,2.27%,0.00%,2.08%,4.26%,5.41%,2.86%,2.63%,3.57%,,,,,,,
,Ellis,1.10%,1.15%,1.14%,0.38%,0.54%,0.63%,0.74%,2.28%,3.75%,0.99%,1.38%,,,,,,,
,El Paso,1.29%,1.75%,1.61%,1.93%,2.83%,2.90%,3.40%,2.80%,4.00%,5.20%,5.89%,,,,,,,
,Erath,0.97%,0.71%,0.95%,1.17%,2.31%,1.56%,2.83%,2.31%,2.57%,4.81%,5.63%,,,,,,,
,Falls,0.00%,0.00%,1.12%,1.24%,0.57%,0.65%,1.67%,0.58%,0.56%,3.95%,2.94%,,,,,,,
,Fannin,1.20%,1.57%,1.08%,3.09%,2.62%,4.27%,3.91%,3.04%,3.65%,7.18%,5.05%,,,,,,,
,Fayette,0.67%,0.33%,1.05%,1.32%,0.00%,1.46%,1.43%,1.07%,1.43%,2.21%,1.73%,,,,,,,
,Fisher,0.00%,NR**,0.00%,0.00%,0.00%,2.33%,0.00%,0.00%,2.70%,2.86%,2.27%,,,,,,,
,Floyd,0.00%,0.00%,2.25%,1.12%,0.00%,0.00%,0.00%,3.75%,1.47%,0.00%,4.88%,,,,,,,
,Foard,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.67%,0.00%,,,,,,,
,Fort Bend,0.95%,0.82%,0.82%,0.94%,0.98%,1.36%,0.77%,0.89%,1.18%,1.70%,1.82%,,,,,,,
,Franklin,0.68%,1.44%,2.27%,2.46%,0.00%,2.15%,0.98%,0.00%,0.00%,3.16%,4.76%,,,,,,,
,Freestone,1.71%,1.51%,1.25%,1.91%,2.55%,2.97%,2.15%,4.86%,2.78%,5.81%,7.49%,,,,,,,
,Frio,0.36%,0.41%,0.00%,0.00%,0.47%,0.00%,1.40%,0.48%,0.00%,1.44%,0.51%,,,,,,,15
,Gaines,7.45%,9.69%,8.62%,13.09%,18.22%,16.99%,18.84%,18.45%,16.19%,17.97%,17.62%,,,,,,,
,Galveston,1.77%,1.87%,1.55%,1.81%,2.34%,2.40%,2.37%,2.46%,2.73%,3.82%,4.32%,,,,,,,
,Garza,0.00%,1.11%,1.82%,0.00%,0.00%,2.13%,3.03%,3.92%,3.64%,5.00%,2.86%,,,,,,,
,Gillespie,1.03%,1.78%,2.01%,2.42%,5.95%,9.68%,6.16%,4.56%,7.91%,6.49%,4.96%,,,,,,,
,Glasscock,0.00%,0.00%,0.00%,0.00%,4.35%,5.00%,5.00%,8.00%,6.67%,8.00%,5.56%,,,,,,,
,Goliad,0.99%,0.00%,1.14%,0.00%,1.37%,2.08%,2.56%,2.33%,4.82%,1.08%,6.76%,,,,,,,
,Gonzales,0.31%,0.00%,0.66%,0.34%,1.11%,0.99%,1.16%,0.34%,2.14%,1.23%,3.89%,,,,,,,
,Gray,0.00%,0.27%,0.34%,0.74%,1.35%,1.48%,0.70%,2.61%,2.36%,2.88%,6.22%,,,,,,,
,Grayson,1.17%,1.64%,1.93%,1.99%,1.68%,2.94%,3.43%,3.05%,4.11%,5.05%,5.58%,,,,,,,
,Gregg,0.82%,0.92%,1.64%,0.87%,1.63%,2.01%,2.20%,2.05%,2.97%,3.63%,4.54%,,,,,,,
,Grimes,0.88%,0.31%,2.56%,1.50%,1.32%,2.20%,2.11%,3.25%,2.90%,4.03%,4.48%,,,,,,,
,Guadalupe,1.18%,1.33%,1.53%,1.57%,1.67%,1.71%,1.86%,1.81%,2.42%,3.40%,2.67%,,,,,,,
,Hale,0.17%,1.16%,0.00%,1.18%,0.38%,1.45%,1.39%,0.00%,1.43%,1.41%,1.39%,,,,,,,
,Hall,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.27%,7.89%,6.25%,8.82%,8.82%,,,,,,,
,Hamilton,2.80%,0.00%,1.05%,0.98%,2.83%,4.55%,0.00%,2.52%,1.14%,4.46%,2.30%,,,,,,,
,Hansford,1.80%,2.25%,0.00%,1.15%,4.00%,0.00%,1.94%,0.00%,3.75%,4.55%,1.32%,,,,,,,
,Hardeman,0.00%,2.27%,2.08%,5.26%,0.00%,2.13%,3.23%,1.96%,0.00%,2.63%,0.00%,,,,,,,
,Hardin,1.24%,0.00%,1.24%,2.20%,1.85%,4.72%,3.03%,3.56%,4.32%,5.19%,7.03%,,,,,,,
,Harris,0.84%,0.86%,0.86%,1.06%,1.35%,1.52%,1.51%,1.55%,1.66%,2.45%,2.92%,,,,,,,
,Harrison,1.13%,0.77%,0.72%,0.96%,1.33%,1.21%,2.41%,1.29%,2.13%,2.48%,5.61%,,,,,,,
,Hartley,2.70%,0.00%,10.34%,4.00%,2.78%,0.00%,3.33%,0.00%,0.00%,3.45%,6.67%,,,,,,,
,Haskell,1.12%,1.43%,0.00%,1.45%,1.82%,1.79%,3.85%,0.00%,1.82%,8.00%,6.00%,,,,,,,
,Hays,2.83%,2.78%,2.76%,3.35%,3.17%,3.14%,3.49%,3.00%,3.75%,3.32%,4.09%,,,,,,,
,Hemphill,0.00%,4.11%,2.50%,2.82%,1.67%,1.82%,0.00%,1.54%,1.79%,6.12%,5.66%,,,,,,,
,Henderson,0.79%,1.59%,1.65%,2.00%,2.23%,2.58%,2.99%,3.64%,4.10%,4.95%,5.43%,,,,,,,
,Hidalgo,0.20%,0.11%,0.24%,0.35%,0.41%,0.69%,0.63%,0.85%,0.98%,1.20%,1.16%,,,,,,,
,Hill,0.71%,0.23%,1.13%,0.63%,1.64%,2.06%,2.89%,2.76%,3.86%,5.08%,4.70%,,,,,,,
,Hockley,0.00%,0.00%,0.51%,0.84%,0.83%,1.45%,1.50%,1.66%,1.37%,5.61%,5.61%,,,,,,,
,Hood,2.50%,1.69%,3.74%,2.82%,2.63%,3.72%,5.09%,5.38%,4.27%,5.69%,8.65%,,,,,,,
,Hopkins,1.04%,0.66%,0.93%,1.06%,0.89%,2.25%,1.48%,2.97%,0.45%,4.13%,4.30%,,,,,,,
,Houston,0.47%,0.00%,1.51%,1.77%,2.76%,2.45%,3.62%,4.12%,5.04%,2.67%,3.76%,,,,,,,
,Howard,0.85%,1.05%,0.88%,1.73%,1.09%,2.54%,0.61%,1.69%,2.13%,2.85%,2.65%,,,,,,,
,Hudspeth,0.00%,0.00%,0.00%,4.65%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.63%,,,,,,,
,Hunt,1.01%,0.98%,1.06%,0.96%,1.29%,2.15%,2.06%,1.57%,3.01%,4.55%,5.18%,,,,,,,
,Hutchinson,0.97%,1.27%,0.36%,1.75%,3.14%,2.06%,3.73%,3.85%,5.28%,4.52%,3.85%,,,,,,,
,Irion,0.00%,0.00%,0.00%,0.00%,0.00%,4.55%,3.85%,0.00%,10.53%,6.06%,8.00%,,,,,,,
,Jack,0.00%,0.00%,2.65%,2.59%,0.90%,2.50%,4.76%,0.83%,0.00%,3.13%,6.42%,,,,,,,
,Jackson,1.03%,1.84%,0.38%,1.33%,0.88%,1.53%,1.22%,1.29%,0.83%,1.06%,1.23%,,,,,,,
,Jasper,1.11%,1.32%,1.41%,1.19%,3.28%,2.64%,6.50%,4.36%,6.44%,8.12%,9.70%,,,,,,,
,Jeff Davis,0.00%,0.00%,0.00%,0.00%,11.76%,12.50%,7.69%,7.14%,0.00%,9.09%,0.00%,,,,,,,
,Jefferson,0.71%,0.81%,0.84%,0.69%,1.32%,1.61%,1.69%,1.24%,2.55%,3.20%,3.22%,,,,,,,
,Jim Hogg,0.00%,0.99%,0.00%,0.00%,0.00%,1.11%,0.00%,3.66%,1.27%,1.64%,1.52%,,,,,,,
,Jim Wells,0.00%,0.00%,0.33%,0.17%,0.55%,0.66%,1.99%,0.76%,2.21%,3.68%,2.37%,,,,,,,
,Johnson,1.59%,1.61%,2.32%,2.61%,3.21%,3.87%,4.03%,4.44%,4.51%,5.43%,6.03%,,,,,,,
,Jones,0.00%,1.00%,0.47%,1.64%,0.00%,0.50%,0.98%,1.23%,3.19%,1.59%,3.23%,,,,,,,
,Karnes,0.59%,0.54%,0.00%,0.00%,0.55%,0.00%,1.01%,0.99%,1.18%,6.87%,0.00%,,,,,,,
,Kaufman,1.13%,1.19%,1.20%,1.85%,2.11%,2.22%,3.60%,2.37%,3.35%,3.28%,5.06%,,,,,,,
,Kendall,3.45%,3.32%,2.67%,3.25%,3.98%,5.71%,5.42%,4.61%,4.94%,7.67%,8.75%,,,,,,,
,Kenedy,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.14%,,,,,,,
,Kent,11.11%,0.00%,10.00%,0.00%,NR**,NR**,0.00%,10.00%,9.09%,0.00%,7.69%,,,,,,,
,Kerr,2.19%,2.32%,2.68%,1.93%,1.94%,5.37%,4.40%,3.37%,4.01%,6.43%,5.99%,,,,,,,
,Kimble,0.00%,0.00%,0.00%,0.00%,2.70%,4.17%,2.08%,5.88%,2.17%,0.00%,2.44%,,,,,,,
