time	state	geography	geography_name	grade	N_dtap	N_polio	N_mmr	N_hep_b	N_varicella	N_personal_exempt	N_medical_exempt	N_full_exempt	pct_dtap	pct_polio	pct_mmr	pct_hep_b	pct_varicella	pct_personal_exempt	pct_medical_exempt	pct_full_exempt	N_enrolled
2019-09-01	South Carolina	45019	Charleston	Overall	NA	NA	NA	NA	NA	912	NA	NA	NA	NA	NA	NA	NA	1.6700000000000002	NA	NA	54645
2020-09-01	South Carolina	45019	Charleston	Overall	NA	NA	NA	NA	NA	1053	NA	NA	NA	NA	NA	NA	NA	1.8800000000000001	NA	NA	55881
2021-09-01	South Carolina	45019	Charleston	Overall	NA	NA	NA	NA	NA	1013	NA	NA	NA	NA	NA	NA	NA	1.84	NA	NA	54945
2022-09-01	South Carolina	45019	Charleston	Overall	NA	NA	NA	NA	NA	1109	NA	NA	NA	NA	NA	NA	NA	2.01	NA	NA	55112
2023-09-01	South Carolina	45019	Charleston	Overall	NA	NA	NA	NA	NA	1400	NA	NA	NA	NA	NA	NA	NA	2.42	NA	NA	57800
2019-09-01	South Carolina	45021	Cherokee	Overall	NA	NA	NA	NA	NA	76	NA	NA	NA	NA	NA	NA	NA	0.89	NA	NA	8497
2020-09-01	South Carolina	45021	Cherokee	Overall	NA	NA	NA	NA	NA	94	NA	NA	NA	NA	NA	NA	NA	1.09	NA	NA	8612
2021-09-01	South Carolina	45021	Cherokee	Overall	NA	NA	NA	NA	NA	68	NA	NA	NA	NA	NA	NA	NA	0.8700000000000001	NA	NA	7775
2022-09-01	South Carolina	45021	Cherokee	Overall	NA	NA	NA	NA	NA	115	NA	NA	NA	NA	NA	NA	NA	1.53	NA	NA	7526
2023-09-01	South Carolina	45021	Cherokee	Overall	NA	NA	NA	NA	NA	181	NA	NA	NA	NA	NA	NA	NA	2.21	NA	NA	8202
2019-09-01	South Carolina	45023	Chester	Overall	NA	NA	NA	NA	NA	25	NA	NA	NA	NA	NA	NA	NA	0.49	NA	NA	5118
2020-09-01	South Carolina	45023	Chester	Overall	NA	NA	NA	NA	NA	32	NA	NA	NA	NA	NA	NA	NA	0.63	NA	NA	5061
2021-09-01	South Carolina	45023	Chester	Overall	NA	NA	NA	NA	NA	36	NA	NA	NA	NA	NA	NA	NA	0.74	NA	NA	4859
2022-09-01	South Carolina	45023	Chester	Overall	NA	NA	NA	NA	NA	51	NA	NA	NA	NA	NA	NA	NA	1.06	NA	NA	4816
2023-09-01	South Carolina	45023	Chester	Overall	NA	NA	NA	NA	NA	64	NA	NA	NA	NA	NA	NA	NA	1.34	NA	NA	4770
2019-09-01	South Carolina	45025	Chesterfield	Overall	NA	NA	NA	NA	NA	22	NA	NA	NA	NA	NA	NA	NA	0.31	NA	NA	7018
2020-09-01	South Carolina	45025	Chesterfield	Overall	NA	NA	NA	NA	NA	29	NA	NA	NA	NA	NA	NA	NA	0.41000000000000003	NA	NA	7105
2021-09-01	South Carolina	45025	Chesterfield	Overall	NA	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA	0.43000000000000005	NA	NA	6948
2022-09-01	South Carolina	45025	Chesterfield	Overall	NA	NA	NA	NA	NA	35	NA	NA	NA	NA	NA	NA	NA	0.5	NA	NA	7002
2023-09-01	South Carolina	45025	Chesterfield	Overall	NA	NA	NA	NA	NA	53	NA	NA	NA	NA	NA	NA	NA	0.74	NA	NA	7119
2019-09-01	South Carolina	45027	Clarendon	Overall	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	0.13	NA	NA	6017
2020-09-01	South Carolina	45027	Clarendon	Overall	NA	NA	NA	NA	NA	12	NA	NA	NA	NA	NA	NA	NA	0.2	NA	NA	5876
2021-09-01	South Carolina	45027	Clarendon	Overall	NA	NA	NA	NA	NA	12	NA	NA	NA	NA	NA	NA	NA	0.22	NA	NA	5540
2022-09-01	South Carolina	45027	Clarendon	Overall	NA	NA	NA	NA	NA	27	NA	NA	NA	NA	NA	NA	NA	0.5	NA	NA	5453
2023-09-01	South Carolina	45027	Clarendon	Overall	NA	NA	NA	NA	NA	29	NA	NA	NA	NA	NA	NA	NA	0.52	NA	NA	5526
2019-09-01	South Carolina	45029	Colleton	Overall	NA	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA	0.52	NA	NA	5789
2020-09-01	South Carolina	45029	Colleton	Overall	NA	NA	NA	NA	NA	39	NA	NA	NA	NA	NA	NA	NA	0.6799999999999999	NA	NA	5697
2021-09-01	South Carolina	45029	Colleton	Overall	NA	NA	NA	NA	NA	47	NA	NA	NA	NA	NA	NA	NA	0.91	NA	NA	5182
2022-09-01	South Carolina	45029	Colleton	Overall	NA	NA	NA	NA	NA	45	NA	NA	NA	NA	NA	NA	NA	0.8500000000000001	NA	NA	5268
2023-09-01	South Carolina	45029	Colleton	Overall	NA	NA	NA	NA	NA	43	NA	NA	NA	NA	NA	NA	NA	0.81	NA	NA	5335
2019-09-01	South Carolina	45031	Darlington	Overall	NA	NA	NA	NA	NA	51	NA	NA	NA	NA	NA	NA	NA	0.47000000000000003	NA	NA	10815
2020-09-01	South Carolina	45031	Darlington	Overall	NA	NA	NA	NA	NA	65	NA	NA	NA	NA	NA	NA	NA	0.61	NA	NA	10669
2021-09-01	South Carolina	45031	Darlington	Overall	NA	NA	NA	NA	NA	62	NA	NA	NA	NA	NA	NA	NA	0.59	NA	NA	10438
2022-09-01	South Carolina	45031	Darlington	Overall	NA	NA	NA	NA	NA	64	NA	NA	NA	NA	NA	NA	NA	0.61	NA	NA	10429
2023-09-01	South Carolina	45031	Darlington	Overall	NA	NA	NA	NA	NA	80	NA	NA	NA	NA	NA	NA	NA	0.7799999999999999	NA	NA	10203
2019-09-01	South Carolina	45033	Dillon	Overall	NA	NA	NA	NA	NA	28	NA	NA	NA	NA	NA	NA	NA	0.47000000000000003	NA	NA	5997
2020-09-01	South Carolina	45033	Dillon	Overall	NA	NA	NA	NA	NA	29	NA	NA	NA	NA	NA	NA	NA	0.5	NA	NA	5798
2021-09-01	South Carolina	45033	Dillon	Overall	NA	NA	NA	NA	NA	26	NA	NA	NA	NA	NA	NA	NA	0.46	NA	NA	5612
2022-09-01	South Carolina	45033	Dillon	Overall	NA	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA	0.54	NA	NA	5587
2023-09-01	South Carolina	45033	Dillon	Overall	NA	NA	NA	NA	NA	36	NA	NA	NA	NA	NA	NA	NA	0.65	NA	NA	5522
2019-09-01	South Carolina	45035	Dorchester	Overall	NA	NA	NA	NA	NA	430	NA	NA	NA	NA	NA	NA	NA	1.47	NA	NA	29216
2020-09-01	South Carolina	45035	Dorchester	Overall	NA	NA	NA	NA	NA	499	NA	NA	NA	NA	NA	NA	NA	1.71	NA	NA	29220
2021-09-01	South Carolina	45035	Dorchester	Overall	NA	NA	NA	NA	NA	433	NA	NA	NA	NA	NA	NA	NA	1.56	NA	NA	27773
2022-09-01	South Carolina	45035	Dorchester	Overall	NA	NA	NA	NA	NA	540	NA	NA	NA	NA	NA	NA	NA	1.92	NA	NA	28189
2023-09-01	South Carolina	45035	Dorchester	Overall	NA	NA	NA	NA	NA	768	NA	NA	NA	NA	NA	NA	NA	2.55	NA	NA	30146
2019-09-01	South Carolina	45037	Edgefield	Overall	NA	NA	NA	NA	NA	13	NA	NA	NA	NA	NA	NA	NA	0.37	NA	NA	3506
2020-09-01	South Carolina	45037	Edgefield	Overall	NA	NA	NA	NA	NA	18	NA	NA	NA	NA	NA	NA	NA	0.52	NA	NA	3486
2021-09-01	South Carolina	45037	Edgefield	Overall	NA	NA	NA	NA	NA	21	NA	NA	NA	NA	NA	NA	NA	0.62	NA	NA	3414
2022-09-01	South Carolina	45037	Edgefield	Overall	NA	NA	NA	NA	NA	22	NA	NA	NA	NA	NA	NA	NA	0.6599999999999999	NA	NA	3347
2023-09-01	South Carolina	45037	Edgefield	Overall	NA	NA	NA	NA	NA	32	NA	NA	NA	NA	NA	NA	NA	0.8	NA	NA	4012
2019-09-01	South Carolina	45039	Fairfield	Overall	NA	NA	NA	NA	NA	14	NA	NA	NA	NA	NA	NA	NA	0.47000000000000003	NA	NA	2954
2020-09-01	South Carolina	45039	Fairfield	Overall	NA	NA	NA	NA	NA	17	NA	NA	NA	NA	NA	NA	NA	0.63	NA	NA	2682
2021-09-01	South Carolina	45039	Fairfield	Overall	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NA	NA	NA	0.61	NA	NA	2629
2022-09-01	South Carolina	45039	Fairfield	Overall	NA	NA	NA	NA	NA	14	NA	NA	NA	NA	NA	NA	NA	0.53	NA	NA	2660
2023-09-01	South Carolina	45039	Fairfield	Overall	NA	NA	NA	NA	NA	25	NA	NA	NA	NA	NA	NA	NA	1.01	NA	NA	2469
2019-09-01	South Carolina	45041	Florence	Overall	NA	NA	NA	NA	NA	136	NA	NA	NA	NA	NA	NA	NA	0.5700000000000001	NA	NA	23856
2020-09-01	South Carolina	45041	Florence	Overall	NA	NA	NA	NA	NA	148	NA	NA	NA	NA	NA	NA	NA	0.62	NA	NA	23835
2021-09-01	South Carolina	45041	Florence	Overall	NA	NA	NA	NA	NA	150	NA	NA	NA	NA	NA	NA	NA	0.6599999999999999	NA	NA	22719
2022-09-01	South Carolina	45041	Florence	Overall	NA	NA	NA	NA	NA	161	NA	NA	NA	NA	NA	NA	NA	0.69	NA	NA	23201
2023-09-01	South Carolina	45041	Florence	Overall	NA	NA	NA	NA	NA	188	NA	NA	NA	NA	NA	NA	NA	0.8300000000000001	NA	NA	22763
2019-09-01	South Carolina	45043	Georgetown	Overall	NA	NA	NA	NA	NA	92	NA	NA	NA	NA	NA	NA	NA	0.98	NA	NA	9420
2020-09-01	South Carolina	45043	Georgetown	Overall	NA	NA	NA	NA	NA	103	NA	NA	NA	NA	NA	NA	NA	1.11	NA	NA	9305
2021-09-01	South Carolina	45043	Georgetown	Overall	NA	NA	NA	NA	NA	83	NA	NA	NA	NA	NA	NA	NA	0.97	NA	NA	8569
2022-09-01	South Carolina	45043	Georgetown	Overall	NA	NA	NA	NA	NA	104	NA	NA	NA	NA	NA	NA	NA	1.21	NA	NA	8609
2023-09-01	South Carolina	45043	Georgetown	Overall	NA	NA	NA	NA	NA	109	NA	NA	NA	NA	NA	NA	NA	1.24	NA	NA	8790
2019-09-01	South Carolina	45045	Greenville	Overall	NA	NA	NA	NA	NA	2178	NA	NA	NA	NA	NA	NA	NA	2.48	NA	NA	87923
2020-09-01	South Carolina	45045	Greenville	Overall	NA	NA	NA	NA	NA	2571	NA	NA	NA	NA	NA	NA	NA	2.84	NA	NA	90491
2021-09-01	South Carolina	45045	Greenville	Overall	NA	NA	NA	NA	NA	2485	NA	NA	NA	NA	NA	NA	NA	2.74	NA	NA	90686
2022-09-01	South Carolina	45045	Greenville	Overall	NA	NA	NA	NA	NA	3292	NA	NA	NA	NA	NA	NA	NA	3.56	NA	NA	92351
2023-09-01	South Carolina	45045	Greenville	Overall	NA	NA	NA	NA	NA	4091	NA	NA	NA	NA	NA	NA	NA	4.33	NA	NA	94542
2019-09-01	South Carolina	45047	Greenwood	Overall	NA	NA	NA	NA	NA	113	NA	NA	NA	NA	NA	NA	NA	0.96	NA	NA	11737
2020-09-01	South Carolina	45047	Greenwood	Overall	NA	NA	NA	NA	NA	123	NA	NA	NA	NA	NA	NA	NA	1.04	NA	NA	11772
2021-09-01	South Carolina	45047	Greenwood	Overall	NA	NA	NA	NA	NA	99	NA	NA	NA	NA	NA	NA	NA	0.8500000000000001	NA	NA	11590
2022-09-01	South Carolina	45047	Greenwood	Overall	NA	NA	NA	NA	NA	140	NA	NA	NA	NA	NA	NA	NA	1.21	NA	NA	11536
2023-09-01	South Carolina	45047	Greenwood	Overall	NA	NA	NA	NA	NA	158	NA	NA	NA	NA	NA	NA	NA	1.37	NA	NA	11504
2019-09-01	South Carolina	45049	Hampton	Overall	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.04	NA	NA	2775
2020-09-01	South Carolina	45049	Hampton	Overall	NA	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	0.31	NA	NA	2910
2021-09-01	South Carolina	45049	Hampton	Overall	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	0.15000000000000002	NA	NA	2613
2022-09-01	South Carolina	45049	Hampton	Overall	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	0.24000000000000002	NA	NA	2469
2023-09-01	South Carolina	45049	Hampton	Overall	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	0.39	NA	NA	2583
2019-09-01	South Carolina	45051	Horry	Overall	NA	NA	NA	NA	NA	536	NA	NA	NA	NA	NA	NA	NA	1.1700000000000002	NA	NA	45948
2020-09-01	South Carolina	45051	Horry	Overall	NA	NA	NA	NA	NA	733	NA	NA	NA	NA	NA	NA	NA	1.59	NA	NA	46048
2021-09-01	South Carolina	45051	Horry	Overall	NA	NA	NA	NA	NA	776	NA	NA	NA	NA	NA	NA	NA	1.6900000000000002	NA	NA	46002
2022-09-01	South Carolina	45051	Horry	Overall	NA	NA	NA	NA	NA	922	NA	NA	NA	NA	NA	NA	NA	1.93	NA	NA	47744
2023-09-01	South Carolina	45051	Horry	Overall	NA	NA	NA	NA	NA	1046	NA	NA	NA	NA	NA	NA	NA	2.24	NA	NA	46745
2019-09-01	South Carolina	45053	Jasper	Overall	NA	NA	NA	NA	NA	22	NA	NA	NA	NA	NA	NA	NA	0.55	NA	NA	4030
2020-09-01	South Carolina	45053	Jasper	Overall	NA	NA	NA	NA	NA	18	NA	NA	NA	NA	NA	NA	NA	0.43000000000000005	NA	NA	4209
