time	geography	geography_name	grade	N_dtap	N_polio	N_mmr	N_hep_b	N_varicella	N_personal_exempt	N_medical_exempt	N_full_exempt	pct_dtap	pct_polio	pct_mmr	pct_hep_b	pct_varicella	pct_personal_exempt	pct_medical_exempt	pct_full_exempt	enrollment
2019-09-01	51067	Franklin	Kindergarten	NA	NA	NA	NA	NA	6	0	6	NA	NA	NA	NA	NA	1.28	0	1.28	467
2019-09-01	51620	Franklin City	7th grade	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0	0	0	74
2019-09-01	51620	Franklin City	Kindergarten	NA	NA	NA	NA	NA	2	0	2	NA	NA	NA	NA	NA	2.41	0	2.41	83
2019-09-01	51069	Frederick	7th grade	NA	NA	NA	NA	NA	13	2	15	NA	NA	NA	NA	NA	1.11	0.17	1.28	1171
2019-09-01	51069	Frederick	Kindergarten	NA	NA	NA	NA	NA	13	4	17	NA	NA	NA	NA	NA	1.36	0.42	1.78	957
2019-09-01	51630	Fredericksburg City	7th grade	NA	NA	NA	NA	NA	1	0	1	NA	NA	NA	NA	NA	0.37	0	0.37	267
2019-09-01	51630	Fredericksburg City	Kindergarten	NA	NA	NA	NA	NA	4	0	4	NA	NA	NA	NA	NA	1.13	0	1.13	354
2019-09-01	51640	Galax City	7th grade	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0	0	0	113
2019-09-01	51640	Galax City	Kindergarten	NA	NA	NA	NA	NA	1	0	1	NA	NA	NA	NA	NA	0.87	0	0.87	115
2019-09-01	51071	Giles	7th grade	NA	NA	NA	NA	NA	2	8	10	NA	NA	NA	NA	NA	1.31	5.23	6.54	153
2019-09-01	51071	Giles	Kindergarten	NA	NA	NA	NA	NA	3	15	18	NA	NA	NA	NA	NA	1.76	8.82	10.59	170
2019-09-01	51073	Gloucester	7th grade	NA	NA	NA	NA	NA	5	5	10	NA	NA	NA	NA	NA	2.45	2.45	4.9	204
2019-09-01	51073	Gloucester	Kindergarten	NA	NA	NA	NA	NA	10	3	13	NA	NA	NA	NA	NA	2.72	0.82	3.53	368
2019-09-01	51075	Goochland	7th grade	NA	NA	NA	NA	NA	2	0	2	NA	NA	NA	NA	NA	0.99	0	0.99	202
2019-09-01	51075	Goochland	Kindergarten	NA	NA	NA	NA	NA	6	1	7	NA	NA	NA	NA	NA	3.64	0.61	4.24	165
2019-09-01	51077	Grayson	7th grade	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0	0	0	130
2019-09-01	51077	Grayson	Kindergarten	NA	NA	NA	NA	NA	2	1	3	NA	NA	NA	NA	NA	1.45	0.72	2.17	138
2019-09-01	51081	Greensville	7th grade	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0	0	0	201
2019-09-01	51081	Greensville	Kindergarten	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0	0	0	161
2019-09-01	51083	Halifax	7th grade	NA	NA	NA	NA	NA	2	0	2	NA	NA	NA	NA	NA	0.53	0	0.53	376
2019-09-01	51083	Halifax	Kindergarten	NA	NA	NA	NA	NA	3	0	3	NA	NA	NA	NA	NA	0.85	0	0.85	353
2019-09-01	51650	Hampton City	7th grade	NA	NA	NA	NA	NA	23	6	29	NA	NA	NA	NA	NA	1.48	0.39	1.87	1553
2019-09-01	51650	Hampton City	Kindergarten	NA	NA	NA	NA	NA	30	2	32	NA	NA	NA	NA	NA	2.03	0.14	2.16	1479
2019-09-01	51085	Hanover	7th grade	NA	NA	NA	NA	NA	19	3	22	NA	NA	NA	NA	NA	1.35	0.21	1.56	1411
2019-09-01	51085	Hanover	Kindergarten	NA	NA	NA	NA	NA	17	2	19	NA	NA	NA	NA	NA	1.52	0.18	1.7	1120
2019-09-01	51660	Harrisonburg City	7th grade	NA	NA	NA	NA	NA	4	7	11	NA	NA	NA	NA	NA	0.81	1.42	2.23	494
